pnu	시군구	번지	본번	부번	단지명	전용면적	계약연월	계약일	거래금액만원	층	건축년도	도로명
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	84.945	200606	20	8300	9	1997	경강로2539번길 8
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200606	8	13190	5	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	200606	12	10500	11	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200606	22	13190	6	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200606	23	13190	5	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	200606	25	9800	12	2005	경강로2539번길 23
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200606	25	13090	7	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200606	26	13090	6	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200606	29	13190	11	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	200606	30	9400	6	2005	경강로2539번길 22
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	200606	1	7213	2	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	200606	1	8500	13	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	200606	3	7800	13	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	200606	26	5998	2	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	200606	28	6137	12	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	84.84	200606	30	11163	7	1999	가작로 78
4215011000117670000	강원도 강릉시 교동	1767	1767	0000	교동2현대	99.98	200606	16	16000	1	1999	교동광장로 138-15
4215011000117670000	강원도 강릉시 교동	1767	1767	0000	교동2현대	99.88	200606	29	16100	10	1999	교동광장로 138-15
4215011000103480006	강원도 강릉시 교동	348-6	0348	0006	서일2	27.75	200606	22	1850	3	1987	수리골길17번길 35
4215011000107580027	강원도 강릉시 교동	758-27	0758	0027	태화맨션	80.65	200606	19	6200	2	1991	화부산로99번길 6-3
4215011000100460001	강원도 강릉시 교동	46-1	0046	0001	한신	59.84	200606	18	6700	5	1997	명륜로 95-7
4215011600106160000	강원도 강릉시 내곡동	616	0616	0000	강부2	41.18	200606	20	2300	1	1988	관대길 63
4215011600101270000	강원도 강릉시 내곡동	127	0127	0000	남산삼익	58.74	200606	7	5000	7	1993	남부로125번길 37
4215011600101270000	강원도 강릉시 내곡동	127	0127	0000	남산삼익	84.48	200606	9	5900	2	1993	남부로125번길 37
4215011600101270000	강원도 강릉시 내곡동	127	0127	0000	남산삼익	72.01	200606	20	5750	4	1993	남부로125번길 37
4215011600106230000	강원도 강릉시 내곡동	623	0623	0000	내곡주공	39.3	200606	26	2000	1	1989	관대길16번길 6
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	84.95	200606	3	10000	13	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	84.95	200606	12	9500	7	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	200606	15	7240	13	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	200606	23	7050	6	1997	강변로 114
4215012100106180001	강원도 강릉시 노암동	618-1	0618	0001	고합	32.04	200606	2	2100	7	1996	남부로125번길 23
4215012100108350000	강원도 강릉시 노암동	835	0835	0000	노암2주공	49.22	200606	26	2800	3	1984	노가니남길 25
4215012100106050000	강원도 강릉시 노암동	605	0605	0000	노암3한라	74.64	200606	16	6000	7	2000	남부로125번길 7
4215012100106100000	강원도 강릉시 노암동	610	0610	0000	노암남산현대	84.99	200606	8	9200	5	1998	남부로125번길 11
4215012100106270002	강원도 강릉시 노암동	627-2	0627	0002	대림임대	48.32	200606	1	2900	5	1989	임영로25번길 13
4215012100106610000	강원도 강릉시 노암동	661	0661	0000	범아	52.7	200606	29	2000	4	1980	임영로25번길 3-6
4215012100107110000	강원도 강릉시 노암동	711	0711	0000	신화	84.954	200606	13	8500	3	1998	강변로 270
4215012100107110000	강원도 강릉시 노암동	711	0711	0000	신화	84.954	200606	30	9500	10	1998	강변로 270
4215012100102450005	강원도 강릉시 노암동	245-5	0245	0005	현대	71.175	200606	7	5000	2	1992	율곡로 2733
4215012100102450005	강원도 강릉시 노암동	245-5	0245	0005	현대	84.945	200606	26	6500	8	1992	율곡로 2733
4215011400109400000	강원도 강릉시 송정동	940	0940	0000	삼우은성	72.86	200606	14	6500	2	1992	남강초교1길 55
4215012500105010000	강원도 강릉시 입암동	501	0501	0000	강동3	45.37	200606	12	3450	2	1993	강변로410번길 35
4215012500105010000	강원도 강릉시 입암동	501	0501	0000	강동3	47.37	200606	15	2500	6	1993	강변로410번길 35
4215012500104960005	강원도 강릉시 입암동	496-5	0496	0005	대목	39.72	200606	9	2750	2	1987	용지로 35
4215012500105060009	강원도 강릉시 입암동	506-9	0506	0009	대인3	59.685	200606	8	4320	2	1993	강변로410번길 27
4215012500105600000	강원도 강릉시 입암동	560	0560	0000	우진	51.78	200606	21	2700	3	1991	월대산로 13-6
4215012500100900005	강원도 강릉시 입암동	90-5	0090	0005	은하	39.85	200606	10	3000	5	2001	월대산로 47
4215012500100900005	강원도 강릉시 입암동	90-5	0090	0005	은하	39.85	200606	28	2500	5	2001	월대산로 47
4215012500102100000	강원도 강릉시 입암동	210	0210	0000	이안강릉타운	84.7	200606	29	23000	1	2006	성덕로 316-22
4215012500106410000	강원도 강릉시 입암동	641	0641	0000	입암1주공	39.72	200606	27	2700	4	1986	강변로 364
4215012500106850000	강원도 강릉시 입암동	685	0685	0000	입암4주공	59.8	200606	2	5900	5	1996	성덕포남로 89
4215012500106850000	강원도 강릉시 입암동	685	0685	0000	입암4주공	59.8	200606	28	5500	15	1996	성덕포남로 89
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	200606	13	6000	13	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	49.62	200606	19	4700	9	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	200606	20	5800	3	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	49.62	200606	29	3662	6	1998	성덕포남로 39
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	59.956	200606	7	6300	9	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	99.604	200606	16	12500	10	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	84.904	200606	19	10100	7	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	84.904	200606	20	8300	1	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	59.956	200606	21	6500	14	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	84.904	200606	26	9500	13	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	59.956	200606	27	6950	14	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	59.824	200606	30	7100	9	1998	용지로 19
4215013700100040004	강원도 강릉시 저동	4-4	0004	0004	경포현대	59.785	200606	19	4500	2	1996	경포로463번안길 14
4215013700100040004	강원도 강릉시 저동	4-4	0004	0004	경포현대	59.785	200606	22	6050	5	1996	경포로463번안길 14
4215025022112560000	강원도 강릉시 주문진읍 교항리	1256	1256	0000	교항2주공	39.51	200606	9	3030	14	2000	연주로 241-7
4215025022112560000	강원도 강릉시 주문진읍 교항리	1256	1256	0000	교항2주공	49.85	200606	9	4160	3	2000	연주로 241-7
4215025022112560000	강원도 강릉시 주문진읍 교항리	1256	1256	0000	교항2주공	49.85	200606	9	4160	5	2000	연주로 241-7
4215025022112560000	강원도 강릉시 주문진읍 교항리	1256	1256	0000	교항2주공	49.85	200606	12	4160	11	2000	연주로 241-7
