pnu	시군구	번지	본번	부번	단지명	전용면적	계약연월	계약일	거래금액만원	층	건축년도	도로명
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200607	5	12790	2	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	200607	8	9390	4	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200607	11	14300	11	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	200607	18	8900	3	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	200607	20	12600	8	2005	경강로2539번길 22
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	84.84	200607	6	8791	14	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	49.85	200607	7	6000	10	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	84.84	200607	11	13300	14	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	200607	29	8100	3	1999	가작로 78
4215011000100180016	강원도 강릉시 교동	18-16	0018	0016	교동대림	118.273	200607	10	10000	6	1997	수리골길17번길 21
4215011000100180016	강원도 강릉시 교동	18-16	0018	0016	교동대림	59.84	200607	31	6700	10	1997	수리골길17번길 21
4215011000103130001	강원도 강릉시 교동	313-1	0313	0001	서일용궁맨션	70.65	200607	1	5900	11	1990	율곡로 2982-7
4215011000103130001	강원도 강릉시 교동	313-1	0313	0001	서일용궁맨션	67.95	200607	31	5730	4	1990	율곡로 2982-7
4215011000100460001	강원도 강릉시 교동	46-1	0046	0001	한신	59.84	200607	18	6500	8	1997	명륜로 95-7
4215011000108530014	강원도 강릉시 교동	853-14	0853	0014	현대그린	84.86	200607	20	7000	3	1992	강릉대로171번길 39
4215011600100750001	강원도 강릉시 내곡동	75-1	0075	0001	관동2	49.94	200607	10	3550	1	1992	남산초교길12번길 11
4215011600101270000	강원도 강릉시 내곡동	127	0127	0000	남산삼익	58.74	200607	5	4970	4	1993	남부로125번길 37
4215011600104690000	강원도 강릉시 내곡동	469	0469	0000	내곡동현대	59.84	200607	7	7400	16	1998	범일로 645
4215011600104690000	강원도 강릉시 내곡동	469	0469	0000	내곡동현대	59.84	200607	27	5000	16	1998	범일로 645
4215011600106230000	강원도 강릉시 내곡동	623	0623	0000	내곡주공	39.3	200607	3	3000	5	1989	관대길16번길 6
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	200607	19	6850	14	1997	강변로 114
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	84.95	200607	24	9000	2	1997	강변로 114
4215012100106050000	강원도 강릉시 노암동	605	0605	0000	노암3한라	74.64	200607	1	8500	14	2000	남부로125번길 7
4215012100106050000	강원도 강릉시 노암동	605	0605	0000	노암3한라	39.762	200607	4	3200	13	2000	남부로125번길 7
4215012100106050000	강원도 강릉시 노암동	605	0605	0000	노암3한라	74.64	200607	22	8500	12	2000	남부로125번길 7
4215012100106050000	강원도 강릉시 노암동	605	0605	0000	노암3한라	74.64	200607	31	8850	13	2000	남부로125번길 7
4215012100106100000	강원도 강릉시 노암동	610	0610	0000	노암남산현대	59.84	200607	3	6200	1	1998	남부로125번길 11
4215012100106100000	강원도 강릉시 노암동	610	0610	0000	노암남산현대	59.84	200607	12	5500	13	1998	남부로125번길 11
4215012100106100000	강원도 강릉시 노암동	610	0610	0000	노암남산현대	84.99	200607	28	8000	6	1998	남부로125번길 11
4215012100103900000	강원도 강릉시 노암동	390	0390	0000	노암한라	59.976	200607	3	6300	5	1994	노암길42번길 24
4215012100106270002	강원도 강릉시 노암동	627-2	0627	0002	대림임대	48.32	200607	24	3500	2	1989	임영로25번길 13
