pnu	시군구	번지	본번	부번	단지명	전용면적	계약연월	계약일	거래금액만원	층	건축년도	도로명
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	43.38	201307	17	7350	2	1997	경강로2539번길 8
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	43.38	201307	26	7200	8	1997	경강로2539번길 8
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	84.915	201307	26	11400	3	1997	경강로2539번길 8
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	84.945	201307	30	12000	13	1997	경강로2539번길 8
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	201307	4	12900	15	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	201307	15	13850	1	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	59.99	201307	17	12300	5	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	201307	31	17500	12	2005	경강로2539번길 22
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	201307	4	12700	11	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	49.85	201307	4	9150	13	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	201307	9	12400	15	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	49.85	201307	29	9500	12	1999	가작로 78
4215011000117670000	강원도 강릉시 교동	1767	1767	0000	교동2현대	99.98	201307	21	20000	14	1999	교동광장로 138-13
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.86	201307	1	12550	2	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.86	201307	5	14100	15	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.79	201307	15	13500	5	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.79	201307	15	13700	15	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.74	201307	18	13900	5	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.79	201307	30	14150	12	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.86	201307	30	14000	12	2002	교동광장로 138-12
4215011000100180016	강원도 강릉시 교동	18-16	0018	0016	교동대림	59.84	201307	11	8700	3	1997	수리골길17번길 21
4215011000103570000	강원도 강릉시 교동	357	0357	0000	교동이-편한세상	84.7155	201307	12	19800	6	2006	종합운동장길 92
4215011000100370011	강원도 강릉시 교동	37-11	0037	0011	교동임대	51.66	201307	22	5400	3	1987	명륜로 109-4
4215011000114290001	강원도 강릉시 교동	1429-1	1429	0001	민락	54.81	201307	29	8050	4	1985	하슬라로10번길 7
4215011000117800000	강원도 강릉시 교동	1780	1780	0000	부영3차	84.93	201307	10	10584	1	2001	하슬라로 124
4215011000117800000	강원도 강릉시 교동	1780	1780	0000	부영3차	84.93	201307	12	10584	1	2001	하슬라로 124
4215011000117800000	강원도 강릉시 교동	1780	1780	0000	부영3차	84.93	201307	26	10584	1	2001	하슬라로 124
4215011000117800000	강원도 강릉시 교동	1780	1780	0000	부영3차	84.93	201307	27	10584	1	2001	하슬라로 124
4215011000117750000	강원도 강릉시 교동	1775	1775	0000	부영6	84.9763	201307	9	9580	1	2003	정원로 53-9
4215011000117750000	강원도 강릉시 교동	1775	1775	0000	부영6	84.9763	201307	26	16900	4	2003	정원로 53-9
4215011000107800000	강원도 강릉시 교동	780	0780	0000	제일	65.495	201307	22	3300	2	1981	화부산로117번길 7
4215011000100460001	강원도 강릉시 교동	46-1	0046	0001	한신	59.84	201307	16	9000	8	1997	명륜로 95-7
4215011000100460001	강원도 강릉시 교동	46-1	0046	0001	한신	59.84	201307	29	9000	5	1997	명륜로 95-7
4215011000117590000	강원도 강릉시 교동	1759	1759	0000	현대하이빌	99.96	201307	18	19700	9	1999	원대로128번길 14
