pnu	시군구	번지	본번	부번	단지명	전용면적	계약연월	계약일	거래금액만원	층	건축년도	도로명
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	116.175	201207	16	11000	9	1997	경강로2539번길 8
4215011500102020000	강원도 강릉시 견소동	202	0202	0000	송정한신	84.945	201207	31	11000	2	1997	경강로2539번길 8
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	201207	6	15800	10	2005	경강로2539번길 22
4215011500102890000	강원도 강릉시 견소동	289	0289	0000	송정해변신도브래뉴아파트	84.99	201207	10	14500	13	2005	경강로2539번길 22
4215011000119820000	강원도 강릉시 교동	1982	1982	0000	강릉교동롯데캐슬1단지	164.0098	201207	6	32328	6	2009	화부산로99번길 12
4215011000119820000	강원도 강릉시 교동	1982	1982	0000	강릉교동롯데캐슬1단지	135.1727	201207	17	25395	5	2009	화부산로99번길 12
4215011000119820000	강원도 강릉시 교동	1982	1982	0000	강릉교동롯데캐슬1단지	163.9852	201207	17	31942	4	2009	화부산로99번길 12
4215011000119820000	강원도 강릉시 교동	1982	1982	0000	강릉교동롯데캐슬1단지	135.1727	201207	30	25395	4	2009	화부산로99번길 12
4215011000119820000	강원도 강릉시 교동	1982	1982	0000	강릉교동롯데캐슬1단지	163.9852	201207	30	33000	8	2009	화부산로99번길 12
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	59.89	201207	9	12520	3	1999	가작로 78
4215011000117500000	강원도 강릉시 교동	1750	1750	0000	교동1주공	49.85	201207	23	8900	15	1999	가작로 78
4215011000117670000	강원도 강릉시 교동	1767	1767	0000	교동2현대	84.97	201207	11	15000	1	1999	교동광장로 138-15
4215011000117670000	강원도 강릉시 교동	1767	1767	0000	교동2현대	99.98	201207	28	21900	9	1999	교동광장로 138-15
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.74	201207	4	13850	5	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.86	201207	17	13300	7	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.79	201207	23	13500	11	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.74	201207	26	13000	6	2002	교동광장로 138-12
4215011000117660000	강원도 강릉시 교동	1766	1766	0000	교동3주공	59.84	201207	26	13400	6	2002	교동광장로 138-12
4215011000114290001	강원도 강릉시 교동	1429-1	1429	0001	민락	54.81	201207	19	6650	3	1985	하슬라로10번길 7
4215011000117800000	강원도 강릉시 교동	1780	1780	0000	부영3차	84.93	201207	23	17200	9	2001	하슬라로 124
4215011000117800000	강원도 강릉시 교동	1780	1780	0000	부영3차	84.93	201207	30	16000	2	2001	하슬라로 124
4215011000117620000	강원도 강릉시 교동	1762	1762	0000	부영5	84.93	201207	3	18000	8	2001	교동광장로 163
4215011000117620000	강원도 강릉시 교동	1762	1762	0000	부영5	84.93	201207	22	17000	6	2001	교동광장로 163
4215011000117750000	강원도 강릉시 교동	1775	1775	0000	부영6	84.9763	201207	2	18100	10	2003	정원로 53-9
4215011000103480006	강원도 강릉시 교동	348-6	0348	0006	서일2	27.75	201207	11	3000	1	1987	수리골길17번길 35
4215011000100460001	강원도 강릉시 교동	46-1	0046	0001	한신	84.98	201207	31	11250	2	1997	명륜로 95-7
4215010200101830002	강원도 강릉시 남문동	183-2	0183	0002	삼익그린맨션	127.311	201207	23	16900	12	1992	홍제로 7-13
4215011600106230000	강원도 강릉시 내곡동	623	0623	0000	내곡주공	39.3	201207	2	2500	1	1989	관대길16번길 6
4215011600106230000	강원도 강릉시 내곡동	623	0623	0000	내곡주공	39.69	201207	11	4000	2	1989	관대길16번길 6
4215011600106230000	강원도 강릉시 내곡동	623	0623	0000	내곡주공	39.3	201207	28	3500	1	1989	관대길16번길 6
4215011600104760000	강원도 강릉시 내곡동	476	0476	0000	내곡한라	59.97	201207	16	10000	12	1997	강변로 114
4215012100108350000	강원도 강릉시 노암동	835	0835	0000	노암2주공	59.3	201207	10	3700	2	1984	노가니남길 25
4215012100108350000	강원도 강릉시 노암동	835	0835	0000	노암2주공	59.3	201207	13	5000	1	1984	노가니남길 25
4215012100108440000	강원도 강릉시 노암동	844	0844	0000	양우내안애	59.7216	201207	3	13200	10	2009	강변로 328-8
4215012100106790001	강원도 강릉시 노암동	679-1	0679	0001	영진3	49.92	201207	2	5000	5	1996	임영로26번길 10
4215011400110610000	강원도 강릉시 송정동	1061	1061	0000	경포대신도브래뉴로얄카운티	155.837	201207	16	22000	3	2007	해안로 93-8
4215011400109400023	강원도 강릉시 송정동	940-23	0940	0023	대림맨션	135.38	201207	6	12000	3	1991	남강초교2길 44
4215011400109400023	강원도 강릉시 송정동	940-23	0940	0023	대림맨션	84.99	201207	27	9000	4	1991	남강초교2길 44
4215011400100390010	강원도 강릉시 송정동	39-10	0039	0010	삼익비치맨션	84.544	201207	17	10000	9	1992	해안로 107
4215011400100140008	강원도 강릉시 송정동	14-8	0014	0008	해변소라	49.68	201207	13	4800	4	1988	팔송길18번길 17
4215037022103050002	강원도 강릉시 연곡면 영진리	305-2	0305	0002	삼우그린	43.2	201207	1	6840	6	1999	연주로 132
4215037022103050002	강원도 강릉시 연곡면 영진리	305-2	0305	0002	삼우그린	43.2	201207	3	5100	7	1999	연주로 132
4215037022103050002	강원도 강릉시 연곡면 영진리	305-2	0305	0002	삼우그린	43.2	201207	16	7200	11	1999	연주로 132
4215037022103050002	강원도 강릉시 연곡면 영진리	305-2	0305	0002	삼우그린	43.2	201207	16	6840	4	1999	연주로 132
4215037022103050002	강원도 강릉시 연곡면 영진리	305-2	0305	0002	삼우그린	30.24	201207	19	4940	4	1999	연주로 132
4215037022103350006	강원도 강릉시 연곡면 영진리	335-6	0335	0006	삼천리	59.85	201207	2	4200	4	1994	영진2길 20
4215010500100740004	강원도 강릉시 임당동	74-4	0074	0004	성호맨션	95.56	201207	19	8500	5	1982	문화의길 9
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	157.22	201207	4	26391	8	2007	성덕로 328-15
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	157.22	201207	13	23400	12	2007	성덕로 328-15
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	123.65	201207	21	18700	1	2007	성덕로 328-15
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	157.22	201207	24	26691	8	2007	성덕로 328-15
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	123.09	201207	24	22357	3	2007	성덕로 328-15
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	157.22	201207	25	23400	4	2007	성덕로 328-15
4215012500103210000	강원도 강릉시 입암동	321	0321	0000	강릉입암동금호어울림	123.09	201207	28	20800	7	2007	성덕로 328-15
4215012500106500003	강원도 강릉시 입암동	650-3	0650	0003	강변	53.045	201207	9	3000	1	1984	강중길 13
4215012500100920001	강원도 강릉시 입암동	92-1	0092	0001	녹원	81.91	201207	17	8700	2	1992	월대산로 57
4215012500105060009	강원도 강릉시 입암동	506-9	0506	0009	대인3	59.685	201207	7	7200	10	1993	강변로410번길 27
4215012500106080003	강원도 강릉시 입암동	608-3	0608	0003	삼우그린	59.89	201207	4	6000	4	1996	강변로 458
4215012500102100000	강원도 강릉시 입암동	210	0210	0000	이안강릉타운	84.7	201207	19	16950	9	2006	성덕로 316-22
4215012500102100000	강원도 강릉시 입암동	210	0210	0000	이안강릉타운	84.7	201207	25	17000	15	2006	성덕로 316-22
4215012500106410000	강원도 강릉시 입암동	641	0641	0000	입암1주공	46.74	201207	2	4450	3	1986	강변로 364
4215012500106410000	강원도 강릉시 입암동	641	0641	0000	입암1주공	39.72	201207	13	4300	2	1986	강변로 364
4215012500106410000	강원도 강릉시 입암동	641	0641	0000	입암1주공	39.72	201207	21	4100	4	1986	강변로 364
4215012500106410000	강원도 강릉시 입암동	641	0641	0000	입암1주공	47.1	201207	28	4400	5	1986	강변로 364
4215012500100490000	강원도 강릉시 입암동	49	0049	0000	입암2주공	39.69	201207	23	4550	1	1990	강변로 508
4215012500100490000	강원도 강릉시 입암동	49	0049	0000	입암2주공	46.68	201207	30	4900	5	1990	강변로 508
4215012500106850000	강원도 강릉시 입암동	685	0685	0000	입암5주공	39.99	201207	10	5900	10	1996	성덕포남로 89-17
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	2	9300	7	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	49.62	201207	2	7000	1	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	3	9300	3	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	4	8400	1	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	7	9400	6	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	11	9000	3	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	49.62	201207	17	7750	13	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	18	9400	4	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	49.62	201207	20	7500	7	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	22	9400	12	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	24	9050	9	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	49.62	201207	29	7500	9	1998	성덕포남로 39
4215012500107090001	강원도 강릉시 입암동	709-1	0709	0001	입암6주공	59.99	201207	31	9450	10	1998	성덕포남로 39
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	59.956	201207	3	9500	8	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	59.956	201207	5	8000	2	1998	용지로 19
4215012500104400000	강원도 강릉시 입암동	440	0440	0000	입암현대	59.956	201207	11	9400	10	1998	용지로 19
4215013700100040004	강원도 강릉시 저동	4-4	0004	0004	경포현대	59.785	201207	9	8500	3	1996	경포로463번안길 14
4215013700100040004	강원도 강릉시 저동	4-4	0004	0004	경포현대	84.915	201207	11	12000	4	1996	경포로463번안길 14
4215013700100040004	강원도 강릉시 저동	4-4	0004	0004	경포현대	84.915	201207	19	10000	1	1996	경포로463번안길 14
4215025022103980010	강원도 강릉시 주문진읍 교항리	398-10	0398	0010	신생빌라	59.97	201207	23	4500	2	1990	신리대동길 31-4
4215025022103870006	강원도 강릉시 주문진읍 교항리	387-6	0387	0006	주공	36.2	201207	27	2000	5	1982	신리천로 72
4215025021108420000	강원도 강릉시 주문진읍 주문리	842	0842	0000	우일해변	81.6525	201207	30	6400	9	1991	소돌안길 32-6
4215025021115850000	강원도 강릉시 주문진읍 주문리	1585	1585	0000	케이티레파트더블루힐	84.974	201207	16	12900	5	2007	주문북로 147-32
4215025021115850000	강원도 강릉시 주문진읍 주문리	1585	1585	0000	케이티레파트더블루힐	59.33	201207	16	9350	7	2007	주문북로 147-32
4215025021103110001	강원도 강릉시 주문진읍 주문리	311-1	0311	0001	현대프라자	68.58	201207	30	3700	10	1995	주문로 144
4215013200103340000	강원도 강릉시 지변동	334	0334	0000	덕원임대	52.176	201207	9	5200	8	1998	죽헌길85번길 25
4215013200103340000	강원도 강릉시 지변동	334	0334	0000	덕원임대	59.961	201207	16	6300	7	1998	죽헌길85번길 25
4215011200101490001	강원도 강릉시 초당동	149-1	0149	0001	동부	84.98	201207	17	11600	2	1997	연당길 75
4215011200101490001	강원도 강릉시 초당동	149-1	0149	0001	동부	84.98	201207	23	12700	6	1997	연당길 75
4215011200101430000	강원도 강릉시 초당동	143	0143	0000	우성	84.77	201207	30	10000	6	1997	연당길 67-15
4215011200101810000	강원도 강릉시 초당동	181	0181	0000	유화2	78.167	201207	23	9000	12	1994	연당길 94-6
4215011200101550000	강원도 강릉시 초당동	155	0155	0000	유화3	45.68	201207	24	5700	6	1996	연당길 82
4215011200101350018	강원도 강릉시 초당동	135-18	0135	0018	이화해변(A동)	29.82	201207	20	2450	3	1988	초당원길 21
4215011200101350001	강원도 강릉시 초당동	135-1	0135	0001	이화해변아파트(B~D동)	29.82	201207	23	2100	2	1988	초당원길 21
4215011200101280000	강원도 강릉시 초당동	128	0128	0000	현대	59.875	201207	4	9100	7	1995	초당원길 26-2
4215011100111200018	강원도 강릉시 포남동	1120-18	1120	0018	대목6	84.44	201207	25	6510	5	1990	경강로2223번길 29
4215011100110050253	강원도 강릉시 포남동	1005-253	1005	0253	동남2	54.945	201207	17	5600	5	1986	경강로2234번길 15
4215011100108980017	강원도 강릉시 포남동	898-17	0898	0017	삼우골든맨션	114.33	201207	10	7900	8	1991	용지각길20번길 8
4215011100110770007	강원도 강릉시 포남동	1077-7	1077	0007	유화	46.69	201207	15	3200	4	1989	강릉대로419번길 20
4215011100112930001	강원도 강릉시 포남동	1293-1	1293	0001	일송	59.135	201207	11	8900	6	1995	하평3길 37
4215011100112930001	강원도 강릉시 포남동	1293-1	1293	0001	일송	59.135	201207	13	9300	12	1995	하평3길 37
4215011100112930001	강원도 강릉시 포남동	1293-1	1293	0001	일송	58.87	201207	25	9250	5	1995	하평3길 37
4215011100110920000	강원도 강릉시 포남동	1092	1092	0000	정아아트	76.41	201207	30	5500	4	1991	명륜로121번길 20
4215011100112930002	강원도 강릉시 포남동	1293-2	1293	0002	청송	84.42	201207	7	15300	7	1994	하평길 37
4215011100110650000	강원도 강릉시 포남동	1065	1065	0000	포남1주공	42.54	201207	17	3800	5	1981	보래미상길 65
4215011100110650000	강원도 강릉시 포남동	1065	1065	0000	포남1주공	42.54	201207	27	3800	5	1981	보래미상길 65
4215010100110070000	강원도 강릉시 홍제동	1007	1007	0000	강릉홍제힐스테이트	127.802	201207	9	21218	2	2007	토성로 39
4215010100110070000	강원도 강릉시 홍제동	1007	1007	0000	강릉홍제힐스테이트	127.802	201207	9	21218	2	2007	토성로 39
4215010100110070000	강원도 강릉시 홍제동	1007	1007	0000	강릉홍제힐스테이트	127.802	201207	10	23113	4	2007	토성로 39
4215010100110070000	강원도 강릉시 홍제동	1007	1007	0000	강릉홍제힐스테이트	129.689	201207	13	23081	6	2007	토성로 39
4215010100110070000	강원도 강릉시 홍제동	1007	1007	0000	강릉홍제힐스테이트	127.802	201207	26	23113	4	2007	토성로 39
4215010100101220000	강원도 강릉시 홍제동	122	0122	0000	우산	33.225	201207	7	4400	3	1997	토성로 51
4215010100101220000	강원도 강릉시 홍제동	122	0122	0000	우산	57.87	201207	23	6300	10	1997	토성로 51
4215010100101220000	강원도 강릉시 홍제동	122	0122	0000	우산	33.225	201207	27	3800	14	1997	토성로 51
4282025025104830001	강원도 고성군 간성읍 상리	483-1	0483	0001	간성대명	59.4	201207	13	5700	2	1998	수성로 126-5
4282025022101110000	강원도 고성군 간성읍 신안리	111	0111	0000	고성삼익레스타운	59.68	201207	5	7200	4	1998	남천마루2길 6
