계약날짜,거래금액(만원)
201207,0.0266475049994263
201208,-0.0711256170215866
201209,0.0997818914988581
201210,0.0053094012719414
201211,0.0239434014915014
201212,-0.0104761539823097
201301,0.0199745220863623
201302,0.0049281750573255
201303,-0.0218829645595134
201304,-0.0287644840725933
201305,-0.0064352878005721
201306,0.0033710069898005
201307,-0.0844562548652608
201308,0.0094105162609989
201309,0.0366964369496649
201310,0.0277861313225109
201311,0.0510118804157839
201312,0.0147854033047318
201401,0.020567030550975
201402,-0.0358174454563755
201403,-0.0274151680475186
201404,0.0126550334438952
201405,-0.0113929797108904
201406,0.015382598444082
201407,0.0195210346530891
201408,0.0151975157228532
201409,-0.0146309846774191
201410,-0.0135844613464886
201411,0.0014531706643607
201412,-0.0085951639019697
201501,0.0047481052873776
201502,-4.378990409770189e-05
201503,0.0160479877243191
201504,0.0185712947667504
201505,0.0192407427860232
201506,-0.0191092234908761
201507,0.0090252014826155
201508,-0.0157909723845456
201509,0.0302605624094547
201510,0.0649685562085196
201511,0.0558885104272979
201512,-0.0560188196839748
201601,-0.049282371588988
201602,-0.0217568825481481
201603,0.030434928337319
201604,0.099655724935104
201605,0.0424199374296518
201606,-0.0201517638206634
201607,-0.0364308486327371
201608,0.0495642840264893
201609,0.0202587220270362
201610,-0.0104932685585577
201611,-0.0644481576096994
201612,0.0556123259244338
201701,-0.0250283213566797
201702,0.0245833435288118
201703,0.0170621110373243
201704,0.0534566115380401
201705,0.058849065321674
201706,-0.0770052851887315
201707,0.0741665007988847
201708,-0.0820197588474128
201709,0.1481147286354849
201710,-0.0051367567277385
201711,0.1044303335743774
201712,-0.0046040738808469
201801,-0.0143697140470721
201802,-0.1289640650402759
201803,-0.0447339350266373
201804,0.018534400377578
201805,-0.0142535277462358
201806,0.0203689820866406
201807,0.1626915301718765
201808,0.0224787756486533
201809,-0.0157553991332908
201810,-0.0752465405608431
201811,-0.0139077517120621
201812,-0.0553029579034387
201901,0.01949569080764
201902,0.0152802525111037
201903,0.1178057720125849
201904,0.1020288131990008
201905,0.1149854406989911
201906,0.0026252218248838
201907,0.0040238416819502
201908,-0.0728358475583937
201909,0.0681871798591857
201910,-0.0123277134020253
201911,-0.0139769148357806
201912,-0.0986918836382935
202001,-0.1288819992738007
202002,0.048925705576452
202003,-0.0322543428060047
202004,0.0704316944630256
202005,0.1337739098422523
202006,0.071499119256587
202007,-0.0055961757904376
202008,0.1011575028889062
202009,-0.002095265798064
202010,-0.0534383946770451
202011,0.0962715406887448
202012,0.0588258745923755
202101,-0.03387702990893
202102,-0.0023315626527203
202103,-0.0308428016906963
202104,0.0800843294017525
202105,-0.062665080895082
202106,-0.0151065851085752
202107,0.0745728698777397
202108,0.0310326019086581
202109,0.044761504566154
202110,-0.03412295745429
202111,-0.0150665526605293
202112,-0.0011565465942686
202201,-0.1086543555647223
202202,0.0006423552270629
202203,0.0439476884696836
202204,0.1570353917151676
202205,-0.1778864127336529
