계약날짜,가락동,가양동,갈현동,개봉동,개포동,고척동,공덕동,공릉동,광장동,구로동,구산동,구의동,금호동1가,금호동3가,금호동4가,길동,길음동,남가좌동,노량진동,논현동,답십리동,당산동4가,당산동5가,대치동,도곡동,도화동,돈암동,둔촌동,등촌동,망원동,명일동,목동,무악동,묵동,문래동3가,문정동,미아동,반포동,방배동,방이동,방학동,방화동,본동,봉천동,북가좌동,불광동,사당동,삼성동,상계동,상도동,상봉동,상암동,서교동,서초동,성내동,성수동1가,성수동2가,송파동,수색동,수유동,시흥동,신공덕동,신길동,신내동,신당동,신대방동,신도림동,신림동,신사동,신월동,신정동,신천동,암사동,압구정동,여의도동,역삼동,연희동,염창동,오금동,오류동,옥수동,우면동,월계동,응봉동,응암동,이문동,이촌동,일원동,자양동,잠실동,잠원동,장안동,전농동,정릉동,제기동,종암동,중계동,진관동,창동,천호동,청담동,청량리동,풍납동,하계동,하왕십리동,하월곡동,한남동,행당동,홍은동,홍제동,화곡동,휘경동,흑석동
201207,0.06884195538680582,-0.21166666666666678,0.03395844580884544,-0.29341139299321617,-0.03002058479850278,-0.3246669679346118,-0.22674602445615766,0.08337806036503204,0.029988545246277365,-0.027314957488631775,0.2669204925437,-0.4090907448153114,-0.013204856014759514,-0.10787744702233748,0.06164934476565376,-0.12251965914628504,0.18318643138857527,0.3161673982655907,0.10947050722326057,1.092328953095961,-0.14798349291114699,0.009460555939201254,-0.011364921355129676,-0.20168981106745754,0.17709026116949822,0.35116431187859753,-0.14307322307322312,0.1295066978263688,0.16415865921711292,0.104947914034902,-0.31481524751868706,-0.24322683593768935,0.07045539106425192,-0.2815911730545878,0.077045775613244,-0.10427467823813574,0.06953580642898327,-0.31658793904160587,0.029253597055918235,-0.6124407639768237,0.004767537596250815,-0.24385855974546256,-0.2853253023586886,0.056480820388720376,0.21367141799775569,0.5220629474899524,-0.002011955421723055,0.0027074490280349917,0.04203968230566302,-0.17612334895037318,-0.07835402335340835,0.11275827707249797,-0.05412972856174769,0.383282794346951,0.15669800055710081,-0.7548276196675356,0.3464673913043479,0.23354311710585596,-0.1508779554645442,0.21982179145654823,-0.14712879569095005,0.38982681640942196,-0.536009151814395,0.10980121417723665,-0.011208070899057954,0.08541216948218755,-0.05146601921770133,0.13785850464190963,-0.6027627732976432,0.7762889256592578,0.11906270814757702,-0.18958112833603114,0.106751921476953,-0.000974729241877359,-0.12095615307122753,-0.2884561558272446,-0.6472674867064534,0.3671686478325755,-0.020807664775912227,0.03811477171632427,0.11068298468266713,-0.14458218953118096,0.44995240636171563,0.2846272426132308,0.46780090539541763,0.13587320892892452,-0.02508812922378212,0.04776169229962646,-0.10125938587486372,-0.001446035278736546,-0.07891475404429427,-0.24854941976790723,0.39289044289044295,-0.1628968847304808,0.10476162238310005,0.28083611741969206,-0.10477485346802873,0.014832493034958483,0.22241289537741749,-0.4646295111650781,0.47213682720929095,-0.24611308704834634,0.11352864087873815,-0.09859369619987646,-0.10364510011024564,0.32001734949272276,-1.0295636294355834,0.04140415104493522,0.14757875806852438,-0.05650877731716053,0.5445329327488886,0.08502068584431532,-0.46244290346671413
201208,-0.38649923598126135,0.1437475046675314,0.09532249389142544,0.10488160291438975,0.0029456171683930332,-0.0013645367177756995,0.07927457665008653,-0.36426688202121604,-0.18356525203755925,-0.2772050795478198,-0.20308836074559133,0.13044886642034004,-0.08338995095949564,0.09891802087068724,-0.2035097092881597,-0.3334473367237688,-0.1118927159412344,-0.002186221963401458,-0.048100601191371384,0.12776537692277912,0.02301876719414131,-0.13804409951808072,0.33509661626643195,0.4344281292551494,-0.2539976186343387,-0.23785166240409206,-0.008550069029412022,0.3407553340652528,-0.16696137897947283,-0.42997130578515486,0.45640307503240884,0.23397253270671092,0.22617876836684014,0.3330991911451683,0.13378972567173109,-0.34037160083671714,-0.25358945267991695,0.16510674402425607,0.02015734927315349,0.23989415913013967,0.07816637161330053,-0.020335211102683215,-0.3143307324081934,0.08568785883952124,0.21447499946097637,0.10537113084543903,0.04224814822686007,0.11772145486516383,-0.11295039208421964,0.15850898701163507,-0.07361825968802826,0.04984625137750898,-0.026469837206597457,-0.3497711378005044,-0.07737406163566285,-0.6894819503722466,0.3325032942540841,-0.29175756581645196,0.3058155398016591,-0.31439765851069756,0.1601312960289183,-0.059302692947143854,0.0852325581395349,-0.03516026529970229,0.24363131068325972,0.02032259373661338,-0.046643602138598084,-0.10739224337232223,0.4933237828049162,-0.20218139493529697,-0.13473517674707614,0.0026157737800827086,-0.0282281863742031,0.16408301537293535,-0.17699857892663529,0.36712643218121765,0.3954967948510376,-0.02797694823813479,0.5176233635448136,-0.26170473621107515,-0.030448356856057956,-0.0929425577457087,-0.14561766624572414,0.0709928459903344,-0.27689866244798944,0.16621037616020973,0.03626990456493273,-0.06047086560310877,0.12189046911419488,-0.03948102966254774,-0.18925812844580148,0.06145866518501497,0.013836866028334449,-0.04536259509294094,0.027673423335954128,-0.033300267148581586,0.17840837783621455,-0.04270985754999801,-0.4611689816747545,0.6914881970282832,-0.18730813366156984,0.20023396156336726,0.09342355002174163,0.041427255985267086,0.22159337296788917,-0.4728035279249071,0.07222413028405716,-0.0006938696109360931,-0.3614338833372065,-0.09749477908687032,0.032231574175219935,-0.20877629994288927,0.3020272609939808
201209,0.8388643517108337,0.01071683215910002,0.07523866770383991,0.06823444683099422,-0.11764628430688406,-0.187760674290689,-0.02817628547133577,1.6128077217125383,0.026780336160930673,0.29531792189124895,0.27698567662107487,0.052401337327105946,0.09143206854345154,-0.0797311084033907,0.0675699554627861,0.31621199780143183,0.13481797919215222,-0.28536611310785953,-0.0690904398599933,0.09511739387476958,-0.008025970111980474,0.031542483116001385,0.058292179896816454,-0.2801164604736671,-0.20269821600676596,0.3193223443223443,0.023839849794169088,-0.2732156819154825,0.06359636309571148,0.7046621621621622,-0.12099572326389696,-0.05830378295123173,-0.27549848320799863,-0.0791175928513248,-0.11882476086861438,0.17848592607187563,0.39083056616643075,-0.3182800488299269,0.15620624356011015,0.019955136102163484,-0.22240813717413488,-0.022147954617418808,0.6321918708148343,-0.006589003546593641,0.02071025557294437,0.12066436158756932,-0.2873395166184398,0.41006861033297737,0.13244051452490258,0.0716648537860558,0.10667763713663125,0.0015118516003838067,0.03646658149514903,0.4077433409039626,0.48579498318174263,5.2644460142718925,-0.3795421516469393,0.15331057368219891,-0.29775092106321466,0.3334079713390057,0.06074920357377134,0.10276022252487649,-0.101941637006572,-0.02897451304391363,0.07176811013098094,-0.11474698335479572,0.19490125212248421,0.2288218398831361,-0.09891151380478913,0.2990295075946252,0.16514220451805794,0.04811301929934819,0.0959995381255303,0.02688300292955348,-0.0013475898977485246,-0.35595163764763194,-0.4899564860751141,0.6441733849695885,-0.4418209876543211,0.33369016315112,-0.1661643571118817,0.21860584575530906,0.10652378204314561,-0.09323022463312347,0.04334226074728065,0.10540594633566114,0.2220479284264425,0.0658618811167988,-0.17326874713726437,0.060127013146110464,0.15710783952210627,0.3233888270662938,-0.2595448436416947,-0.06653206927262245,-0.07414032906140522,0.08950571316214262,0.008163764062368184,-0.07810871416233822,0.29721370618109755,-0.34485990338164263,-0.1169575554772807,0.043797945164797736,-0.2803963379494617,0.046577479899346574,-0.17523143478116854,0.11023310897789562,-0.23571650413069134,0.1821474202397505,-0.19415497661990644,0.10886165951453519,-0.2255020986366273,0.11075299809920103,-0.08598929307417624
201210,-0.12653558165328016,-0.13866817507011997,0.019512195121951237,-0.10762275320531334,0.005947602769608151,0.07899100345035137,0.029760290385077215,-0.4691532002912019,-0.23997673237087502,-0.19642218246869414,-0.24217299549063753,-0.11579588259007734,0.08142609632803299,0.2620672155842506,0.1494696792638407,0.04570241371601247,-0.09597507883422718,0.20779179441107432,-0.027984760407682163,0.5620695146882269,-0.020432079931569258,-0.28983378595809994,-0.029316439012700757,-0.1031895650875796,0.17474242722691158,-0.03487932007176797,-0.025897314950070416,-0.25854698449065616,-0.026091980187059827,-0.37846155552910554,0.0037962584361054263,-0.10088506853903934,0.007578199978322431,0.05268303505185101,0.05606988653479272,-0.15051720671333602,-0.10883904139329814,0.23198033167840937,-0.06851943694587637,-0.049677522477860725,0.04682576828513174,-0.19711553506804635,-0.2977053919467121,-0.05420417256620824,0.49465523015521085,-0.41335791838392333,-0.0927632661118768,-0.01882306602487871,-0.013416404762838008,0.11008366314787499,-0.07759657216424332,-0.05905284760179774,0.11468294282928981,-0.21744681362523532,-0.3497537997815622,-0.08091335867844296,-0.1798755683177794,-0.09682536044885515,0.28332349703001636,-0.24357834420075086,-0.05195708205738081,-0.22845259333418033,0.05275011317338152,0.19844934475191622,-0.19214834707302864,-0.09989787103764458,-0.22393099538431316,-0.24391703039562962,-0.3190583986303499,-0.01211736027589938,-0.09889502592650523,0.02401908244848605,-0.0997614865694827,-0.12008819694729644,0.08347020386351844,-0.1097560418087814,0.07087937838093716,-0.31345456459998533,0.03280429269110652,-0.25294869125930186,0.27391953421593884,-0.21808366677408342,-0.1330265256394646,-0.05828046299227008,-0.30585707252133576,-0.002286759927841664,0.03820491214575661,-0.05167587003980989,0.38167650083906235,-0.08220000252833837,-0.05494068796816043,-0.19113295746706305,0.3566864489535422,0.1052641744507874,0.17391697320021016,-0.25587751793132996,-0.16717929839792844,0.010388342518717786,0.11234889119561653,-0.13330769108178753,-0.13684027739723936,-0.029847313429353872,-0.07711586921265734,0.1244367844415315,-0.06571484144612183,1.004256089028939,1.0092348284960422,-0.2096177653127812,0.13657818110465658,0.3899780951251206,-0.12203445578564298,-0.018717080511662987,0.1122807233434372
201211,0.16121903587213504,0.017623307696857604,-0.21623118880506398,-0.024785323742832377,-0.39568072746017535,-0.17957238179618795,-0.155602904040404,0.22235639789796646,0.18319066235509607,0.09026302521841834,-0.014939399532422515,0.14475834280427036,-0.11683836179015561,-0.325282854656223,-0.2303171652043654,-0.04792128341032087,0.05768703366995298,-0.39551736826920914,0.07218151995626032,-1.0880747818305427,0.014815576966050847,0.23073225897653382,-0.043834026893428524,0.2479310270206967,0.07299014456812136,-0.07343206438341232,-0.07831768575325793,0.10354197393927966,-0.16782821284987204,-0.041831471145012955,0.04516749307610313,-0.00027083568397245905,-0.1362386791836715,-0.00933884341189617,-0.04486994913139464,0.050406226542982324,-0.030819504072802317,0.10224238430201649,-0.11942683785282271,0.1500421855695886,-0.18409191715946538,0.14199003001152855,0.10461298585252587,0.06678724781083101,-0.5535031326599292,0.4678184788796881,0.2879263010794233,-0.04924899919741732,-0.04596608473177011,-0.11849165577576704,0.020036754104162835,-0.043156970623090984,0.09103542388817998,0.04113235565477358,0.06619847955619473,0.17797463061624108,-0.024710297492409605,0.20235218394656096,-0.07156872031787886,0.13823451910408435,-0.08457839971033199,0.010618012032216018,-0.11499088220231557,-0.0037305367557765035,-0.035836423170925835,-0.1314066825124588,-0.021547466709321395,0.014931124291753806,0.5314850900334842,-0.25798457908188055,0.038880405281428554,-0.048585184831532735,0.004683381682780707,-0.10090585858384526,-0.010026202006509832,-0.14042983775651818,-0.1258130116650702,-0.30369957464483377,0.05529118814312328,-0.03423078937719337,-0.20350716606053665,0.02154233183530785,0.18412386349753085,0.09662197532255767,-0.03851705121703852,0.00131180324247393,0.05442054644789707,-0.27430968950219725,0.14452577920207388,0.115588227612887,-0.03358093185107425,-0.1305809224528781,-0.07694201671132783,0.36209047075960665,-0.08354401527994548,0.5193525696270228,0.03125534438829325,0.06386681045852804,0.21457583651860523,0.061835450826104754,-0.17863446715125908,-0.18795057347271515,0.3081716190768775,-0.14531681445811662,-0.05366911111780914,-0.5019547538029984,-0.2765486725663717,-0.018436247741580147,0.08791520000054032,-0.3372261879767654,-0.09647385756812976,-0.02818439586861854,-0.22365043641981697
201212,-0.14657823730980502,-0.13081287517377727,-0.012887975616044045,0.09261990670600195,0.5143108568750241,0.7844618470983491,-0.20715630885122427,0.28018299364453203,0.03949526786971724,0.15475716718179244,-0.021829204086510456,-0.005486921529175071,-0.1313874928797526,0.20433697558343444,0.014008680810165375,0.28821001145149583,0.02276315255659389,0.17180000873601298,0.14786967325485678,0.16833992908943773,0.031803079893244934,-0.23616983791402413,0.010246521111868079,-0.09917344102681724,-0.028310487191853584,0.03941901966093875,-0.02445375948223405,-0.08819546226284858,0.05866000553202644,-0.1426132100446862,-0.10759922998783533,0.11047744698845152,0.1708482030138867,-0.11441329475843154,-0.2482051282051282,-0.10070440363274702,-0.1060230466912202,-0.24409468825559377,-0.17293330434700416,0.060101423157087,0.13200841109232386,0.07995447582532589,-0.2532500622831293,0.010352276017896456,0.049621050936525246,0.24593202918403545,0.46864813661828375,-0.21427622311344174,0.0746870873887896,-0.25675971863930336,-0.3899455606626897,0.06363826339376455,-0.17677118202276154,-0.12156739951229056,-0.35605889582862993,-0.1797353364875609,0.002201275074668496,-0.20293467047222435,0.0946616457011209,0.19553180140391302,-0.09389964956304864,-0.0016755593598465346,0.08800197344659566,-0.31417897471876,-0.03100467360160919,0.21266962336586737,-0.04952734781543888,-0.1143302998811021,0.08457673532671528,-0.13678844813414948,-0.09153428804879327,-0.04288229445989855,0.04510945428024549,0.00467852355211873,-0.03997093250891903,0.14128276283601438,0.0005921476676336024,0.21033405149299134,0.05481641909422663,-0.07226460538845014,0.035277435224078446,-0.15229499067312524,-0.13402632980846874,0.0020473267941072404,0.5855379565342984,0.2511363345354869,0.21948883146316756,0.5768730308094813,-0.3148346891024518,-0.12004251996015092,0.009756617721389582,0.004992073057092705,0.04064507015726537,-0.3253115896204831,-0.16108379583620014,-0.19721151574067242,-0.008945098171836197,0.024188034356658616,-0.15722498158890263,0.06663517962822174,0.8294520325642695,0.27090501121914723,0.05751484799815032,0.030519786040913766,0.12639001699591557,0.08445762394612433,-0.04489514687100882,-0.011739344835111742,0.30734854151084523,-0.05398197364621893,0.11912095483350038,-0.0625428614923953,-0.0473480709356644
201301,-0.44318756464652964,0.22352106615225154,0.10125576270114878,-0.04983741170288314,-0.16265799138276194,-0.5810349524247552,-0.07558067240903865,-0.3748918036125637,-0.1657033671485183,-0.03666798439621699,-0.03468189339994199,0.2340495469442837,0.3782753261820281,0.08190961892619364,0.3222519808917653,-0.38542113282891977,-0.04352520330283305,0.36333991173941427,-0.17526678819487462,3.0593571721168153,-0.10265608834723838,0.5868536756147245,0.05401509951956074,-0.027789770869467878,-0.14541306236391494,-0.07228496047898103,-0.09509313710134748,0.175809129160454,0.10306366985457993,-0.05667144382211453,0.0015494520448926519,-0.052345701706752346,-0.24170219115014058,-0.08493506493506509,0.5303185301079152,0.26220460415128344,0.37433957535671825,0.29757322082218984,0.1940366314692582,-0.26878843749057235,0.06770108974974709,0.019551637387003273,-0.22089049592399612,-0.10917469664611468,-0.036362039267113566,-0.29523221505592745,-0.5349155584257337,0.2473195994238424,-0.1246825338064671,-0.015038155081968041,0.28506914940626127,0.04143488090215364,0.030683841282109325,0.030711901159062194,0.4860420393559929,-0.01595041003818376,0.29387839403371485,0.7984463465707328,-0.06842186415850748,-0.376828129213694,0.061545156604722706,0.000612818914498714,0.3536283768033225,0.20669687405152048,0.301731955079656,0.008416147775458516,0.3026789826818872,0.11695585746143844,-0.35088721927686495,0.43942156278232325,0.053587447571748825,-0.059074635401250464,0.00689792375650411,-0.06586729506594935,0.46372228834634843,0.06855767256559098,0.14908022871274984,-0.18210802732245301,0.2717707359895789,-0.020051693889149513,-0.01908573507794964,0.3576938596484385,-0.0858463018310488,-0.14342965515556472,-0.04080404187315567,-0.12031319417855857,-0.5892455461269382,-0.09538526279734616,-0.035262464421345396,0.039976443268096906,0.09627888672382368,0.5223765860922538,-0.2208742209071879,0.0055369498047096455,0.15401813299972955,0.16772685608631244,0.013800010569834154,0.016403710955883888,-0.08100880472824556,-0.010638361283886733,-0.31430904138570026,-0.14564860426929382,-0.08559393332813514,0.011653518544459507,-0.0030016122764364717,-0.03475570387745375,-0.010975123524691766,-0.1169098806391663,-0.33294806396762877,0.014805031421501802,-0.11250934322944828,0.039933559852595724,-0.040825235331579446
201302,0.9218200216345931,-0.14273961642486133,-0.0399293113058623,0.1379750907596612,0.06872227380674467,0.5569811250975221,0.11910296818257793,0.055078505212423856,0.14230239032295522,0.01385650243440284,0.12469575398729182,-0.5603367988712515,-0.1306715202395925,-0.0582664324149722,-0.49259936404666327,0.2742163891551681,-0.17550367209209994,-0.21364945860365736,0.09147492831666537,-0.5124447113551438,0.08320466259141868,-0.26566500437914453,-0.24980618979243785,-0.0541600032398486,0.1653902425892183,-0.138091102467928,0.04226957927721031,-0.022468701575918404,-0.09443386367906093,0.12888947092718683,0.05623462895040954,0.022353445654983428,0.14924362956608284,0.005513121817469768,-0.5120432622612975,-0.08698815464865972,-0.18101386000416675,0.07021793283686617,-0.014148128122887238,-0.03175140178540592,0.1903030972920754,-0.2828682190760823,-0.31263952060692324,0.0662514369687135,-0.31403817519931565,-0.1877327422420324,0.2807517278806442,-0.07101881947646793,0.11483227590651324,0.1306732627987477,0.23384052530566013,-0.12410416417513481,-0.022290798280246937,0.1018353801824523,-0.07628809446525009,0.07980137501455697,-0.3271055306106836,-0.44487559196570714,-0.10672800628364998,0.03801122694466719,-0.005234036468560466,0.08920693135750457,-0.22904515194955244,-0.1336119270404066,-0.20138725801573,-0.028950331901175685,-0.3121869180020539,0.10413414279522837,1.6969944720669026,-0.23639562459374375,-0.034105581540163965,0.24910334220981245,-0.04532949933870345,0.045236340507366024,-0.5450169306846945,-0.19986752228963256,0.01408408348175072,0.12801302931596092,0.1688897201451527,0.1921620069778024,0.08376365188724089,-0.23800663482889117,0.0941150215451616,-0.06966069121367446,-0.026491437713364707,-0.008465419131090224,0.3862770567495879,0.17230663009422698,0.2531928750701584,-0.06829719020325653,-0.10439750168541329,-0.27157695319130304,0.03778541546349634,0.31024346289280835,-0.1008526688429412,-0.15178185250463738,0.07616189478863133,0.07618927048692026,0.030816943895299542,0.07633585471044602,0.5010500003942628,-0.1325532287085166,0.010016127948390574,0.11431885723123858,0.05767034849250097,-0.06710465329116833,0.6318909370087764,0.18008879678682643,0.18422459391529422,0.23118676871646004,0.07021681334800145,0.12206446028932949,0.40528541865148915
201303,-0.10967732288644993,0.03723875805215515,-0.008653279467867758,-0.1271052864164126,0.22089830769140373,0.1390548591069427,-0.10180420330608075,-0.09161885237135814,-0.03914091438653522,-0.08352757574946179,-0.45812642570528517,0.6363123620451183,0.08425679866454083,-0.13435567480571997,0.068155458742297,-0.1713801064125482,0.1378831499016382,-0.10019954268159514,-0.006983353190000985,-0.1758271987621043,0.02316766579895413,-0.11790541748259253,0.1558010172132025,0.05132861090759544,-0.12602448533985855,0.5271219158050688,0.09813369414790296,-0.1427145636024798,0.07096304998893732,0.15046875463196274,-0.014048448605628594,-0.22175433876674477,0.19628276012206647,0.13908314005824585,0.20156560549894564,0.029140079731185597,-0.1557803282898098,-0.15871283132660774,0.149025208938114,0.14960020258010054,-0.2660462954049042,0.14489597986722402,0.8941935483870967,-0.007342664950693356,0.6340308342572062,-0.14987542535633924,-0.03204345772446093,-0.014647853791137866,-0.09585860857487327,0.02148631141529589,-0.1817951412765476,0.033864483251757505,0.03937533733326415,0.02225234708249113,-0.46843252187896944,-0.03354612880866392,0.26594130405425886,0.07539116495521325,0.08539282201930454,0.14510233918128657,-0.03546245573782214,0.15493821611444814,0.06640255757280278,0.16005929607838254,-0.0176931109535845,-0.05492159610959002,0.29566363181244304,-0.10912122913833233,0.15219550802654314,0.3066865227243907,0.0641815486748224,-0.12976625244826445,-0.12610288345400422,0.0929601621709053,0.15173720064838592,-0.10506309976741701,-0.10214280860937563,0.1476863110329244,-0.5920365761324827,-0.06534514326726681,-0.10440369652710668,0.04208024313904968,-0.11886791684899134,-0.17949341225446935,0.08095877095535375,-0.23587131822425944,0.08387099413766541,-0.2949809775357145,-0.1819190699839418,0.03736088094343004,0.04304998367643742,-0.055869280079806405,0.22170260673768083,-0.2147538879414439,-0.15078013968939052,0.2464508416417066,-0.0852698640254379,0.005055980541370797,0.0591137835953367,0.14825956811026264,-0.7340381427298868,0.015057686567932271,-0.06759930872321518,-0.08160029058074714,-0.05128697546434302,0.12741170993884765,-0.6142156862745097,-0.0070043618237445315,-0.013926675629709395,-0.16958203149257678,0.04539267463530339,-0.016847819824624688,-0.18984042739683837
201304,0.2219310956309718,0.13403047243779498,-0.18941996514812043,-0.05786092046980107,-0.19371671334401752,-0.3652816851812727,0.16297656891941603,0.006399119650379426,-0.007586056760353177,0.014881789810407664,0.37486538553603,-0.16549621618832977,-0.1722215402959526,-0.04806786657825435,-0.08304870417018961,-0.14910002571671788,0.023409138805874585,0.28932623248004563,0.006944566076927616,1.143710433217089,0.022952318287871476,0.006237957896899626,-0.08863444740676107,-0.056266976747173514,-0.005704483041381936,-0.13943969687197677,-0.01855326422934367,0.13038905088622166,-0.03050972370228644,-0.22579653118915533,0.005021153882214913,0.34248670300381345,-0.25129107675417206,-0.06771334308862764,0.004681154652004804,0.023030463390698586,0.0710844614514381,0.03581318618685003,-0.16471499676436308,0.06851844519004646,0.29966034606922554,0.026938306077442187,0.07642789693984708,-0.04513102106364153,-0.22128913869834432,0.020839093853632473,-0.12076928377112484,-0.01686337298789664,-0.07686356128927763,0.24015471775261055,-0.22327099998454203,0.011091566404624054,0.1378556238931311,-0.050563960274833786,0.5618246619098206,-0.5012424455554307,-0.4594859002998162,-0.1794861928362892,0.13489779609113906,-0.025876605119675933,0.19793405190308366,-0.30766525081511975,0.14061247087519768,-0.13763334186721277,-0.06787241468469618,0.05145865733040367,-0.0458219961584998,0.12015584370990062,-0.23847007486462335,-0.3973289671018243,-0.0013020528874919668,-0.011144778124847043,-0.04379058909185041,-0.07390839288662698,-0.1692793251662803,0.22622671985744602,0.1759654772870225,-0.11664766769823509,-0.06833879864870163,0.012748315693640988,0.21510576153816618,-0.035581527561847626,0.02010572066006322,0.28856444414541693,0.09609386325375147,0.1198885331994266,-0.007025600978423419,-0.023706948490219037,-0.17531525990958186,-0.04388420611289079,0.05655178911956138,0.24346815298597124,0.027704007640588557,-0.05645758452786476,0.024669493146131427,-0.2277316037707917,0.046420912072539955,-0.0683852111677935,-0.02590503274435607,-0.16143485100544464,0.22595005125524248,0.5056837113121481,-0.06065171910193923,0.008778492410599359,-0.06814493968244018,-0.14486749922797915,0.4606495181728507,-0.03794664976886386,-0.1675020440518522,0.015902625513015023,-0.05874608130071768,-0.14734095936786606,0.0006666539953575912
