,전국,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,수도권
18.12.31,75.891,73.667,82.943,78.203,77.049,77.804,75.919,76.253,74.762,73.761,72.65,71.623,65.575,73.177,77.605,72.978,73.009,72.526,70.049,74.091,72.9,73.734,76.514,77.687,77.547,73.468,78.411,70.046
19.01.07,75.881,73.669,82.943,78.203,76.998,77.815,75.935,76.253,74.776,73.761,72.65,71.643,65.569,73.177,77.605,72.962,73.009,72.542,70.069,74.094,72.911,73.751,76.514,77.687,77.538,73.47,78.411,70.044
19.01.14,75.859,73.659,82.958,78.203,76.998,77.816,75.935,76.253,74.786,73.745,72.695,71.686,65.555,73.177,77.605,72.97,72.979,72.542,70.073,74.094,72.96,73.774,76.514,77.682,77.4,73.461,78.357,70.035
19.01.21,75.833,73.647,82.968,78.203,76.998,77.816,75.936,76.253,74.835,73.713,72.704,71.686,65.553,73.177,77.605,72.967,72.967,72.542,70.11,74.094,72.974,73.821,76.514,77.66,77.27,73.406,78.344,70.025
19.01.28,75.809,73.623,82.968,78.203,76.998,77.816,75.936,76.237,74.835,73.657,72.716,71.689,65.53,73.163,77.605,72.926,72.969,72.524,70.133,74.094,72.936,73.806,76.514,77.621,77.179,73.334,78.321,70.014
19.02.11,75.772,73.591,82.968,78.098,76.976,77.81,75.933,76.237,74.835,73.642,72.707,71.685,65.53,73.163,77.627,72.892,72.948,72.524,70.15,74.094,72.876,73.806,76.497,77.585,77.046,73.227,78.203,69.997
19.02.18,75.741,73.561,82.968,78.072,76.942,77.81,75.933,76.183,74.835,73.636,72.707,71.688,65.529,73.163,77.627,72.874,72.926,72.524,70.15,74.094,72.876,73.789,76.427,77.551,76.877,73.155,78.113,69.976
19.02.25,75.706,73.525,82.968,78.072,76.942,77.801,75.923,76.183,74.837,73.592,72.674,71.677,65.53,73.163,77.638,72.87,72.889,72.499,70.163,74.098,72.842,73.789,76.416,77.485,76.639,73.096,78.061,69.949
19.03.04,75.679,73.499,82.968,78.072,76.948,77.778,75.904,76.183,74.82,73.448,72.697,71.677,65.532,73.163,77.64,72.845,72.868,72.468,70.163,74.098,72.826,73.788,76.41,77.403,76.608,73.042,77.984,69.934
19.03.11,75.626,73.467,82.968,78.051,76.948,77.743,75.891,76.152,74.822,73.432,72.663,71.677,65.499,73.135,77.66,72.841,72.846,72.453,70.163,74.098,72.802,73.769,76.346,77.357,76.517,72.941,77.935,69.903
