계약날짜,신내동,문래동3가,옥수동,휘경동,답십리동,신길동,고척동,방학동,가양동,방배동,묵동,풍납동,흑석동,신당동,이촌동,개포동,노량진동,월계동,상도동,사당동,봉천동,남가좌동,신사동,응암동,신림동,잠실동,한남동,금호동4가,오류동,삼성동,하월곡동,금호동3가,천호동,문정동,방이동,도곡동,신대방동,명일동,신공덕동,정릉동,압구정동,상암동,제기동,방화동,염창동,창동,길음동,장안동,진관동,도화동,구의동,당산동4가,행당동,신월동,광장동,중계동,잠원동,청량리동,오금동,암사동,본동,여의도동,상계동,반포동,등촌동,신정동,홍제동,청담동,구로동,일원동,무악동,대치동,역삼동,응봉동,논현동,길동,자양동,가락동,송파동,연희동,화곡동,북가좌동,하왕십리동,갈현동,목동,당산동5가,상봉동,서교동,신천동,성내동,수유동,이문동,공릉동,망원동,성수동1가,둔촌동,돈암동,미아동,전농동,공덕동,개봉동,성수동2가,구산동,하계동,서초동,시흥동,신도림동,불광동,금호동1가,수색동,홍은동,우면동,종암동
201207,-0.080719755940306,-0.1567742226969661,0.0117213114754097,-0.0635451505016722,0.082297120418848,0.3947896600566571,-0.043526170798898,0.0516105001325775,0.0328270853092396,0.1980886353056143,-0.0622291993720565,-0.1316558145195642,0.3126582278481011,-0.1366200775351969,-0.0677509327723616,-0.0610734356849077,-0.0086680761099364,0.0044561176455661,-0.0427618895840508,0.3026078592390717,-0.0453902239985062,-0.115891132572432,0.0283059283792643,0.0971325417451252,-0.2290247638067244,-0.0156478218907298,-0.1113389729129282,-0.126,0.0078585461689586,0.0508952922329388,0.3127054864875389,0.2379606879606881,0.4296260154358928,-0.1832814881312762,-0.0601837672281776,0.4402274408284023,-0.1951372569963683,-0.1605727119454121,0.1443286713286713,-0.021066849157182,0.1421668264621285,0.066953097028285,0.0675675675675675,-0.0828863354572638,-0.1617382815479187,0.035420294892088,0.012791166527093,0.018535947365863,-0.1559078875893829,0.155279820261438,-0.0409929078014184,0.4616797900262468,0.0314964325948177,0.1449380789858605,-0.117746328754145,-0.0662856824275734,-0.1149535965253734,-0.0794132524026302,-0.0391304347826086,0.0107582804792107,-0.0888119953863898,0.1427515006002402,0.0074966491535535,0.0595461868958109,-0.0299536417510991,0.2653511306971641,-0.044738994139294,-0.0914213673091249,0.0752550374829923,-0.3048409212391643,-0.2276135205464348,0.0987866361661631,-0.3541086274244971,-0.115987460815047,0.0833333333333332,0.025942684766214,0.04476716087492,0.01186512888326,-0.0263822020520914,1.095993737991888,0.2988813103165482,0.1153846153846154,0.0522548317823907,-0.3632504548211037,0.1784344357380494,0.0132474042248478,-0.0051811687752818,0.4105115789473683,-0.1855417108296381,0.2019421459344867,-0.2107585977183778,-0.0240045959704066,0.0821224793682802,-0.0964740450538688,-0.7353854075779898,-0.0384099653915955,-0.1506107700578887,-0.0632536437034707,-0.0019230769230768,0.6395017793594304,-0.0709303855770495,0.1924074659917747,0.099557522123894,0.0131767607986226,0.6525917470709857,0.0038704902867714,-0.250776682812761,0.0339609952925352,0.0633257403189064,-0.046875,0.0941377834830978,0.2532349437464156,-0.0907659269863992
201208,0.1765468771744223,0.1269961977186311,0.1240236190076775,0.0089285714285713,0.0051535765821479,-0.1222384535458332,-0.3433293508562325,-0.0261837152479693,-0.0783325781603987,-0.1080904028824107,0.0685058702736485,0.0654893303899926,-0.0212712954034072,0.1539950438116875,-0.0425671250818597,0.0088098442607189,0.0796545105566219,-0.0961879075390138,-0.1145013542712802,-0.192677844417571,-0.1069250028932979,-0.0727408142999006,-0.2116870775848737,-0.2045916178916957,0.0124243386499593,-0.0281402675606841,0.1079807692307692,0.531195652173913,0.0487329434697856,-0.1190861109790309,-0.1762360754898551,-0.2180212364791107,-0.13933027502604,0.2777534326614079,0.2602440356947733,0.0455464612421763,0.2780677161958163,0.0288841593189419,-0.4366868533784733,0.0098445742010098,0.08885510806134,-0.2088786353467561,-0.0582278481012658,0.1126855600539811,0.0565563382075711,-0.0752733052883006,-0.0790344573612549,-0.1232081626986881,-0.0405673590263121,-0.2093922651933701,-0.1111521964206478,-0.2833183695456994,-0.0692150170648464,-0.0494657803499895,-0.1794087049901003,-0.1111943964134321,-0.0934788359788358,-0.0103021978021977,0.1726998491704374,0.0071904007822962,0.0339810126582278,-0.0141210532065989,0.0168036529680364,-0.2340797852119369,0.2710490337360971,-0.1179502628802758,-0.0667915106117352,-0.0722485020498265,0.1966196587223241,0.2558438085049477,0.6838995568685375,-0.0823799300020587,0.6081039139421394,0.3408983451536642,0.990675747863248,-0.0890116352333346,0.0947406904475898,-0.0401074405224117,0.2049593710955668,0.5281785774910881,-0.1433184670178889,-0.1795409286238339,0.2925170068027212,0.0938775510204081,-0.198593061658028,-0.2118374558303886,0.0123715264560333,-0.561189445262861,-0.0155260079605792,-0.0062253451676528,0.5364000844059928,-0.1228652853071632,-0.0632626544489335,0.2357723577235773,-0.2259459459459459,-0.1224980888353696,0.0995740813629397,-0.025931626323399,-0.0144508670520231,-0.2775124810071629,-0.0316572237960339,-0.5224450811843362,-0.1737927565392354,0.1955678192636025,-0.2311241157397544,0.0617419293374708,0.2074638844301766,0.1128086720867209,0.0919023136246786,0.0163934426229508,0.0305044974579586,0.1994120092441698,-0.0519603212092584
201209,-0.0879632152588555,0.101102114260009,-0.138422875379904,0.1829646017699115,-0.0030323450134771,0.1954244060893584,0.4004872295816257,0.1218398339342292,0.0619796639697136,0.0033623046476516,-0.0600439610995386,0.0944751381215469,-0.1764715541944118,-0.0620131093196715,0.2307906976744185,-0.0281354656988293,-0.0925432098765431,0.0522279274697095,0.2817777678491644,-0.1932728233349177,0.1212990598607841,-0.1128514056224899,0.0072277196016268,0.0889094955489613,0.0744088737294164,0.0367911429070613,-0.1456391564696694,-0.3537237476218171,0.0384758364312267,0.5646344425552587,-0.0379878934624696,0.249746192893401,0.0065903073558191,0.1160331523292368,0.1148143403839687,-0.0844308344078099,-0.1214002879769619,0.0497881185571156,1.2451975603288252,0.0601010147075589,-0.1381685991117105,0.1248748776894268,-0.0399385560675882,-0.0439920298016113,0.1504881313873378,0.0613343880870285,-0.1144023824874889,0.0679993730179213,0.0623847448894534,0.1379454926624739,0.0876528829353524,0.1296670857705133,0.0628336755646816,0.0772647374567934,0.0349838921369765,0.1151842948717949,0.095373964205403,0.2213740458015267,0.2999081304547544,0.124600218603126,0.1506895433038091,-0.1526745940901567,-0.0410806286819851,0.1629340443385589,-0.1223172089129077,-0.0249147705257669,0.098694150569927,-0.0999076045474631,-0.1352463830287059,0.1945935201749153,-0.5672368421052632,-0.0131719576719575,0.226008541392904,-0.2214386459802538,-0.0339577276002301,-0.0659804279380171,-0.2004491858506456,0.024404491458297,-0.0367917586460633,-0.5629061371841155,0.1889211024373365,0.115770311701584,-0.201578947368421,0.0099502487562188,0.1252438550552399,0.6101023686766793,-0.0158437163513306,0.989795918367347,0.0998595605174552,-0.0046132853687278,-0.3165602252437852,0.0636965284305448,0.1111005704819669,-0.062828947368421,-0.0704531346989446,0.1669586341727802,-0.0359818170177349,0.0015309724191696,-0.1219941348973606,-0.0826698713134044,-0.0236754396046431,1.2722222222222226,-0.2237442922374429,0.0588162859630758,-8.91699092088194e-05,0.013382648255044,-0.0095269746316605,-0.1149760177019648,-0.069518017134262,0.0129032258064516,0.1979419062910523,0.0,0.0124564025909317
201210,-0.0150496314055883,0.0558676335410071,-0.0891615368097061,-0.1208843128955734,-0.0242035679242724,-0.1379128716000338,0.1818653495909863,-0.1200015582088389,0.1755809847833129,0.0848873324045553,-0.0051540180019838,0.035278695999088,0.4096510468594216,-0.0085709840831527,-0.1337856282260467,0.1270715777004218,0.0335615625123677,-0.0273717467088896,0.1297567330251847,0.153583126372242,-0.0077247817356683,0.2333958481536571,0.0379292373334221,-0.0737971025125707,0.2567673176672544,-0.0617565525383705,0.4139444173573867,0.3439768756423431,-0.0426639764388108,-0.2775048603828203,0.1802431848098844,-0.0733143785540212,-0.0238175562989012,0.118227719662745,-0.0238646819382368,-0.0071823478085266,-0.1385844515005633,0.0807463037915086,-0.4602564552509277,-0.006353599486626,0.0354974501342828,-0.0649896016637338,-0.1208000000000001,-0.0366723919355498,0.0494721307753434,-0.0504989744738793,0.2182985433511695,0.1502077329483004,-0.1092042242148805,-0.0261606484893147,-0.005825601255597,0.0346600532300991,0.0059615809229409,-0.1991507558874902,0.1196014455607654,0.0440679239094989,0.0385313842141028,-0.259090909090909,-0.2318456482561222,-0.0438183065166215,0.1337106137278489,0.0379473412493545,0.0223063165755279,0.0182605819400134,-0.0195032119710028,0.0741345312071091,-0.0671175341840774,-0.228962480288018,0.0011129837504373,-0.2131863560732112,0.8078063241106719,-0.0262377989442954,-0.0199112627631298,0.0869565217391303,-0.0824242424242425,0.0589832077581624,0.2085104767689036,0.0809924109065027,0.0787624140565317,0.3627813338839563,0.1203949602250677,1.1383820877579645,0.0257965282355527,0.3775862068965516,0.0270193947076755,-0.0943939112678671,0.0033951582091626,-0.182051282051282,-0.0491159212058203,-0.1134751773049645,0.1383857921575524,0.0163267390331134,0.1160262199633404,-0.1838071838071837,0.0074290484140233,-0.0006602461330876,-0.0781526652620749,-0.0022895095815375,0.2551770207080828,-0.0551502697148729,-0.0270453207769275,-0.244232051567015,0.4141176470588235,-0.0792118608533295,0.1359419749383186,-0.0596748612212529,-0.108274615069157,0.0064627858770003,0.0623318205550422,-0.0228237791932059,-0.0718025108865219,-0.3869230769230769,0.0052493438320211
201211,-0.0167841051066248,-0.1555426581543819,0.215233297437847,0.3131095983120349,-0.0487607117889138,0.0197932585386459,-0.0347123899270493,0.0890722822993739,-0.1322477691274222,-0.0914446595042753,0.1705799093524371,-0.0246532390287103,-0.050110839877298,0.1726649196528715,0.2179004945576661,-0.0791682468076435,-0.002182653647329,0.0943672301797471,-0.0645535492020198,-0.0176448437247834,-0.010165910677841,-0.08266918344519,0.1526714935376474,-0.0001702566735085,0.0371120067908086,0.0474095733943509,0.2758620689655173,-0.1218946797822746,-0.084252570748704,-0.0354388183863164,-0.1284599148225548,0.0026298487836948,-0.045903453159403,-0.066058231243703,-0.1297881589242762,0.0245344713774735,0.039833531510107,-0.1910001517680983,0.0301463485543331,-0.0589436739809857,0.0001314728965764,0.071951018313138,-0.0496284501061571,-0.0846537543114884,-0.0550012629451881,3.5756028721856126e-05,-0.1183204417672266,-0.0862876515453519,0.2094662861358649,0.020965480403285,0.1058041284193183,0.027652733118971,-0.0265583845478489,0.1038657556806801,-0.0380148894436519,0.09053753519294,-0.1090046798471878,0.1096625766871166,-0.1207010764559757,-0.040495948298338,-0.0799672891558188,-0.1223759481867896,0.0424614454866376,0.0798180177801251,-0.0188442674904464,0.0619345890757758,0.0108888386305923,-0.0094784836423744,-0.0004844255425801,0.0477795400475813,-0.1434397796791893,-0.0881613145629144,0.0827522940697944,-0.1875,-0.419161896374578,0.0095582557033371,0.0491481561546174,-0.0430440834486001,0.0188426402575541,-0.3509748811228368,-0.1041400735915155,-0.4139367118843191,0.0155942078656499,-0.2866082603254067,-0.1219557095617703,-0.0893638492285617,-0.0069218739375807,3.498685679333283,-0.0018983894810551,0.2079335793357932,0.0687144181120085,0.010801025497501,-0.1163563858824213,0.219954128440367,0.8423129505344271,-0.0097656587784279,0.1089937949513466,0.0949229579720549,-0.1820117083555082,0.0866772693907511,0.1241247891827956,-0.2308540674077994,0.0086892216675908,0.0562004125519115,-0.1494541447767403,0.0062416461268683,-0.0307647875895645,0.0784208495664557,-0.0371725076556651,-0.0084193373166756,0.0318517263395219,0.273525721455458,0.0251976874300634
201212,0.0017685227101251,0.2487972508591065,-0.2194110351928117,-0.1473070276497696,0.1461375853799906,-0.0269005520217445,-0.0780390694900089,-0.081844460412856,0.0911118435508677,0.0676819776376917,-0.0719880064449352,-0.0744842326432284,0.0226492403383555,-0.1308741408543696,0.0524163507226702,-0.0005211079287467,-0.097685931383836,-0.028094586701255,0.0664752884266324,0.1760070348987301,-0.1523040861205304,0.0716000457264793,0.3828157827600695,0.4061738843009219,-0.0298867679745107,-0.0438886893355667,0.0824297297297298,0.2232032092923863,0.1812077491946826,0.1518782569988834,0.0854436987322893,0.1140983606557377,0.1015813781196086,-0.0009949112964708,0.0377634034225378,0.1422413793103449,0.0263083666857253,0.2364935349176979,-0.0432531381586388,0.0793746167995095,-0.089960331522167,-0.137772761474793,-0.0148003351019269,0.1562288039791997,-0.0895339537109222,0.0326958449117349,0.1179631152309661,0.0374475765780113,-0.090660882130757,0.0426966843241121,-0.0450671403739995,0.0002781254345709,0.065928140777413,0.0858373655913977,0.2076158286765175,-0.0398186769975786,0.0014568158168575,-0.0186592950932964,-0.0297265907022005,-0.0430901341040221,-0.1620308037535699,0.2184733189758316,-0.0154179454393958,-0.149664670375023,-0.0039891978535877,-0.1094939360364988,0.0841356999957434,0.7048921934269234,-0.0568301724646843,0.0013933086780768,0.0405654820341645,0.1924003723285261,-0.0742252746501249,0.0403418803418802,0.0729673384294649,-0.0200597510428326,0.0984815209888938,0.0262209204773136,-0.0924355190555626,-0.1752602991300016,-0.1551118542036987,-0.1576831719349535,0.0665021513540875,0.1434837092731831,-0.0119173499142707,-0.0410887746091112,0.1564579738723195,-0.0145979962471972,-0.031359618352743,-0.0948291055210255,0.0330660419857644,0.2195927944864306,0.0118724705224841,0.0592650440366175,-0.3973431377509431,-0.1447031221801119,0.0040851361447125,-0.0118999791685265,0.1550206029060941,-0.1136363636363636,-0.0257867435657624,0.064353312302839,-0.1521260997067448,-0.1494999374632307,0.1244480330980797,0.0556660753188067,0.0037180935869851,-0.030320769419626,0.080395794681509,0.0423758657119379,-0.169978124083805,-0.1822660098522167,0.0721140464996781
201301,0.088766416510319,-0.087369290038525,0.2536792098688722,-0.213821756092618,-0.0903168976259534,-0.010416760939409,0.1065607577308831,-0.0408713060744371,0.0728385828825852,-0.0831522672094563,0.1113660666547853,0.1549415654565096,-0.1184676399453001,0.0894746464654494,-0.3625063819563324,0.0742702019365595,0.0087719298245614,-0.0314555408727686,-0.1464543216097776,-0.1815776336246883,-0.0493386155419806,-0.1139321527629614,-0.1746339963486115,0.1246107627189412,0.0335093288416687,0.0613272107579554,-0.4114485037059125,-0.1321387731265827,-0.0242809236087514,0.0918814218473458,-0.0919989292725841,-0.0085344320188346,-0.0280831447389633,-0.0711485895981702,-0.1290137429220033,-0.0187849573152781,0.017708317858363,-0.0493566881103963,0.047744651373458,-0.0663015696245648,0.0804688565042222,0.1798004479739361,-0.0085034013605441,-0.0256740902028348,0.00661299577753,0.1525079643606337,-0.1216587757923323,-0.0318845177664973,-0.0782081688350624,-0.1414634146341463,-0.0527237486398259,0.1113077107794195,-0.0912006805849352,-0.1942411927855003,-0.2069450318701695,0.0651411304863951,-0.0628567470213355,-0.0110915492957746,0.1986735684244582,0.0380808086817474,0.4217115313220823,0.028560206486365,-0.0132831830781813,0.2409147640787279,0.00564248504727,0.0690733234078475,-0.0431568707515671,-0.2563435995131501,0.0664203689021296,-0.4100934451010032,0.1222545097743226,-0.1530652029574306,-0.0368769384589237,0.0351626684193231,0.8404145077720209,-0.2675404779178124,-0.2679290549224574,-0.0517374563246491,0.0364856171307783,0.4962635869565217,0.3258626987269915,0.123644251626898,-0.1073865321862949,-0.2341552511415524,-0.037667652381753,0.2697183098591549,-0.0964565460649011,0.00476516630097,-0.0178492391138149,0.0445223260643821,0.0664224664224664,-0.2961190298739209,0.0125744649869565,-0.0685285685029695,-0.1333955223880596,0.1120773849715444,-0.0139685150375939,-0.0945063938618925,-0.2368427134096141,0.1025101214574899,-0.1255173443048879,-0.0355660936573799,0.0130628126737075,-0.0305597722960152,0.1182934264661341,-0.0511284676766415,0.1715380332864509,-0.0407360063548734,-0.2645678305666857,-0.1063963963963964,-0.0599608738180631,0.195578313253012,-0.1048075253153564
201302,-0.0019570541041782,0.078305442484547,0.1134943265123724,0.215617910909466,-0.0426492562717913,0.0057961824862615,-0.0299413505810128,0.1233733670871,-0.0878282274544268,0.0103249719817153,-0.122084482358702,0.0160501700680273,0.0288938606009485,-0.0235084672800367,0.117288276363259,-0.0508104682352079,0.0391497584541062,0.0859602749558303,0.1479916255145117,-0.1148702298625304,0.119259756268822,0.0744478252303919,0.0748779318898664,0.0107760280293383,-0.0497698202319517,-0.0427058888516834,0.6884848484848485,-0.0037383407575123,-0.0472524278018514,-0.2837738546221581,0.0506194474869174,0.0092015434847134,-0.1007860941368298,0.1178312461366228,0.172846287649913,-0.1407036308115949,-0.0164221589664987,-0.0570262315706341,-0.2027972027972028,0.0792874955468472,-0.0580097752866175,-0.0698136002761476,0.0746140651801028,-0.0045371060401672,0.0171673819742488,-0.076753679995933,0.1122353548938748,-0.0054617947457533,0.1417914040508743,0.0279516476237788,-0.0012743426366328,-0.1592374616171955,-0.0276561111591661,0.0418805173475673,-0.0346729708431835,-0.048699217751801,0.1812664573827918,-0.0615789369572528,-0.2575099187606272,-0.0430485854230641,-0.2024828767123287,-0.0945130778882347,-0.0066134960365894,-0.0979174541076166,0.0268094368052875,-0.1549348016977741,0.0540165849400529,0.4043645428426567,0.0220809297763464,0.531593966571545,-0.1339778618467143,0.0330180298918973,0.0329382339656163,0.1214285714285714,-0.218209560006435,0.3223503459840644,0.2466238115816768,0.084467177527379,0.0869788409665766,0.3579374087887141,-0.0789809985096869,0.0593366093366092,0.035559986706547,0.1168614357262103,0.0927756032374851,-0.1092119195280592,-0.0597754293262879,0.0216408882507821,0.1047482485968289,-0.0307286795340533,-0.1717044500419815,0.0603559061903193,-0.0153630328638354,0.0245217447789793,0.0973089343379978,0.0514783944342798,0.0728829853566814,0.0640021034641424,0.0506564939673526,0.0100861731296513,-0.0158158325886208,0.3881815787163052,-0.0797605686494575,0.3038249868694482,-0.062562786025226,0.0078921699033431,-0.1058292987078234,-0.0167013923794389,0.1507328288150204,0.3373323923782638,0.0516024418161007,0.2231295758900877,-0.0508452095553518
201303,-0.0488484262555891,-0.0815204220494753,-0.1713254892574058,0.0114247846255799,-0.0057707063770732,-0.1086325817455694,0.0023707712603675,-0.087561179968733,-0.0817066128882898,0.1012134292222055,-0.0144297009550649,-0.080078521627293,0.0125623908156924,0.0354382261740202,0.1293307138874877,0.0881379829496833,0.0863525049779139,-0.0176702147614923,-0.0159526807361318,0.1924452887912955,0.0568645862845886,0.0441386195094124,0.3334699071380649,-0.142983141682677,-0.0501499209731263,0.0189067819209374,-0.1067839195979899,-0.0674120144956536,0.0764383844644147,0.2596398420232619,-0.0686177278276842,-0.1366844919786096,0.1481502757352941,0.0932444098791469,-0.0819721605524322,0.1563620464146276,0.007425900012721,0.0292848001348509,0.2556076555023923,-0.0896315615298548,0.1221792332768465,0.0264909040305645,0.1037509976057462,-0.0266694760444661,7.879382413977787e-05,-0.0005383235105852,-0.0684324374727302,-0.0019519468394749,-0.0711866161427782,0.0480363413769773,0.0260695741610126,0.0261307772276355,0.07430992971057,0.0244355013776402,0.1618808302808301,-0.0212689409972064,-0.0020628429683345,-0.0067300321937758,0.0776081424936387,0.0388584536273042,0.0547504025764895,-0.0246303820669406,0.0211304754334402,0.030666386463082,0.0665406367660728,0.1337228221980699,0.0142945621206489,-0.3346825564885947,0.0175609812329253,0.1909287537213448,0.0874917859774189,0.1090560110540357,-0.1206678787199913,0.0711783439490445,0.0620256426961975,0.0714298433048432,-0.1119875574539207,-0.0079653734939915,-0.1319512747256177,-0.3350543069209482,-0.1265443138918102,-0.0599285085714674,0.042362002567394,0.1061285500747384,-0.0291976181296319,0.0767655327257974,0.1303828591499825,-0.0407726181679098,-0.0270656557129227,-0.0354582199208326,0.0065346462964301,-0.0012806118868851,0.0223817108513124,-0.0638515512722969,0.3571218363743378,-0.0842387218045112,0.0306203373800828,0.0273340351893074,0.1133419818381398,-0.0264320948932166,0.0849521163395603,-0.1171832173729707,0.053769882874517,-0.1085951386229717,0.1158010430720919,-0.0088998631141864,0.0901979370515331,-0.0528591575530188,-0.0176387443635102,-0.2265831134564644,0.0795784980658929,0.0236793080375981,-0.0065414625294865
201304,0.0595198904665179,-0.0905469859955347,0.0447338909816212,0.1845488798307875,0.0662789476999305,0.1429834939507688,-0.0311489910100166,0.063365429374975,0.1735984510101975,-0.0583512547145762,0.0803094960390522,-0.024552496030363,-0.0981883550978648,-0.1325185435113269,-0.0566342575228642,-0.0596859939924778,-0.0336634767672711,-0.0673455428619577,-0.1490170724822612,0.0034474972099547,-0.0588325790036505,0.0203130809563916,-0.4982923804045157,0.0362171978885381,0.0072929784014954,0.0072096592926851,-0.2337865291451788,-0.0945707508310955,-0.0928533729968333,-0.0020230687059143,0.025982908939939,0.2002973240832508,-0.1059966756169288,-0.2842552117993484,-0.0071904799551254,-0.2163130402792705,0.0144917528214032,-0.0626341796975794,-0.1396914554081254,0.0325816914624661,-0.0926713596032255,-0.0290033686632158,-0.0717281272595806,0.0612788239836972,0.032095075812113,-0.0743021135879258,0.0706021163947703,0.0482895278280981,-0.0093220913130042,-0.082165912783804,-0.0264843781577139,0.0201923209011609,0.0010345376412541,-0.0141865335513668,-0.0428593842412053,0.0860105504574846,-0.0622785753635376,0.0821225170162522,0.2237308146399055,-0.0397545428737118,-0.2610687022900763,0.0090333094972809,-0.038686155939524,0.0059782152543461,0.0038062999586239,-0.0199521106188027,-0.0377031619643117,0.0844250711095475,-0.0233466371740147,-0.0166101975043385,-0.090646022612459,-0.0667259544126779,0.0592115228602354,-0.0348149249293889,-0.2926237579257071,-0.0183716106199953,-0.0714032186199656,0.0387026723302752,0.119781299389176,0.6972070273811881,-0.0066085263558953,-0.2063929185870593,-0.1683979438852002,0.0266891891891891,0.0967758864786125,0.0406269231669422,-0.0277173575290534,0.1250717471123781,-0.0229416404149235,0.0539003357251004,-0.0360987811756627,0.03215854599108,0.0814487723586576,0.0759953764324481,-0.01476075697045,0.1266664614058315,-0.0735111647117346,-0.0214004065289031,-0.0230310107694303,-0.0769095595126522,-0.0164822345802098,-0.0213507833397018,0.1565561809464248,0.0329354202731293,-0.1469030311661511,-0.0571457172031216,-0.0329289562651566,0.0086951635786427,0.0294955800618905,-0.1218763326226012,-0.0028862310961746,-0.0125560977690216,0.1819488965398974
