,계약날짜,가락동,가양동,갈현동,개봉동,개포동,고척동,공덕동,공릉동,광장동,구로동,구산동,구의동,금호동1가,금호동3가,금호동4가,길동,길음동,남가좌동,노량진동,논현동,답십리동,당산동4가,당산동5가,대치동,도곡동,도화동,돈암동,둔촌동,등촌동,망원동,명일동,목동,무악동,묵동,문래동3가,문정동,미아동,반포동,방배동,방이동,방학동,방화동,본동,봉천동,북가좌동,불광동,사당동,삼성동,상계동,상도동,상봉동,상암동,서교동,서초동,성내동,성수동1가,성수동2가,송파동,수색동,수유동,시흥동,신공덕동,신길동,신내동,신당동,신대방동,신도림동,신림동,신사동,신월동,신정동,신천동,암사동,압구정동,여의도동,역삼동,연희동,염창동,오금동,오류동,옥수동,우면동,월계동,응봉동,응암동,이문동,이촌동,일원동,자양동,잠실동,잠원동,장안동,전농동,정릉동,제기동,종암동,중계동,진관동,창동,천호동,청담동,청량리동,풍납동,하계동,하왕십리동,하월곡동,한남동,행당동,홍은동,홍제동,화곡동,휘경동,흑석동
0,201206,0.4052338670555139,0.6308443530238588,0.595077441341638,0.6303983955067919,0.2553465012891129,0.5719944757043143,0.6551951391417465,0.5877622661419546,0.6039968579299105,0.6950281221081099,0.6714856686923495,0.6148695229765763,0.598634510729984,0.723469069518008,0.7113476100875613,0.6041804662103522,0.6128634656044983,0.5908130820501994,0.5515713676665797,0.7183060841197788,0.6396268597306956,0.6052355892253762,0.5379134398584295,0.4669378388034328,0.5194624544700175,0.5364270700278521,0.6298189244925596,0.3906648800130725,0.6043043378964037,0.5706301256029185,0.554095907033367,0.57633424588297,0.6910699458459107,0.6376697373478124,0.5895481443985234,0.526252521503714,0.6017752385705428,0.3625783363566788,0.6020064881741566,0.5679939582592999,0.6254358131613966,0.568828686894752,0.4943934093306583,0.6312614424319818,0.6895202049290197,0.669209378630452,0.5473040308805406,0.6886905351379632,0.589726501697123,0.6078882223837566,0.6286427833434899,0.4998719958243032,0.6766037840400889,0.5873282972256203,0.6112414280484645,0.1997846471162141,0.6337942417202898,0.6128769312216844,0.6104877430736663,0.6236624019082422,0.6744309277382984,0.4899087650343675,0.6228290810199285,0.6437181340234075,0.6336272496040355,0.5612079752661049,0.5481771309337186,0.6275890784460207,0.508377428962654,0.5995868557319476,0.5514745893874682,0.4520738994665136,0.5891208005072243,0.3733970316604539,0.4396120016822863,0.7161682368258285,0.8785580398189347,0.6353902183725832,0.4841174149412254,0.7296455466897657,0.6848545770265183,0.5682246306562554,0.5756040487782146,0.6233929573730261,0.6138411251338247,0.5485592811950684,0.4582454056375052,0.4756129752535118,0.5734398661260922,0.4737301696592806,0.4023275998767867,0.611934730446773,0.6454261899753215,0.6589273931686563,0.711391634268584,0.6855518907063688,0.6304992642692481,0.5035242272674397,0.5674625744286926,0.7102710375176962,0.4239707418666774,0.502509163801433,0.5904161617809391,0.611781408894496,0.5665299485674438,0.6334018598957653,0.6173719062037814,0.6055571391377852,0.6175977263927658,0.6203833210085152,0.7303524688709447,0.6248920002102261,0.65333030784591
1,201207,0.3681804808733662,0.6315763948793355,0.6644924746619295,0.5743290018217364,0.2945487612292486,0.5568604980716552,0.5405145782453085,0.5919856076292312,0.5923670827803194,0.6384447298085406,0.5387076902375592,0.5979780173503655,0.5611478786438072,0.7857760363573343,0.8318648387691527,0.5691231625526275,0.6135945410644608,0.5468192927808819,0.6322024910134321,0.534847840393405,0.658563848313809,0.68323160275498,0.6461716823721152,0.4867193465420268,0.5369198284562412,0.5923339079397315,0.7324356361186476,0.354159160156499,0.6060045504918335,0.7021945590375785,0.5751334240261397,0.554672888138881,0.7149052307010934,0.6289990065881089,0.571910201938088,0.5630043485487068,0.5552192043085361,0.3949701774432115,0.5697799040968693,0.5430399948955139,0.6243246893798489,0.5948292384618945,0.5597373928690981,0.5888142028988712,0.7253003199682935,0.6898208314534002,0.5831330454497479,0.5191291696001272,0.5790023202110407,0.6198492347976887,0.6155479243931231,0.4982417760095926,0.4461087229265221,0.5809842855491645,0.7221613753603398,0.4810545625541803,0.4888785083161636,0.6217489673906548,0.5981784597019477,0.5674642637797201,0.6646674886137185,0.524556369909281,0.5817044236566268,0.6272153283875881,0.7230084957923709,0.614073435654413,0.6071357139661143,0.5048277779080551,0.5701066247148342,0.5798821724589749,0.5278972625617445,0.4987639766349938,0.6529477236931008,0.3302651752338079,0.4410649636751445,0.605928748730433,0.5955458830927172,0.6515033527201821,0.5221067728679913,0.5778520831576192,0.5205989185839948,0.5002539575343844,0.6039814134908048,0.6429094801621865,0.5876337228388563,0.5911492420278883,0.5094248076800589,0.506462053464607,0.5898968690619225,0.5073406591761881,0.4405155800302101,0.6847677086834593,0.6454040671716321,0.5877358089417861,0.738993060488019,0.7238624010377325,0.63300257790462,0.4355885117269694,0.6243411923812197,0.5685896048603253,0.4274323307605732,0.5736579524322918,0.599066858661872,0.6310821504691814,0.6220584163898116,0.531193997741757,0.5848186743195717,0.5746516535856778,0.6672221062635002,0.6925815094677096,0.6381670231334297,0.679832088074557,0.4874446131624685
2,201208,0.3711771677279892,0.5720902633330673,0.7556169335059683,0.6279020306328773,0.3055657241826817,0.559265202764272,0.5496422829502371,0.5855410314806453,0.562166301226066,0.6560398543322791,0.7311881526867801,0.6248137764782031,0.6923949523691993,0.7236958705979898,0.5714280266890888,0.6549928688518383,0.629079393123384,0.683125930688056,0.7124562759469242,0.6351944371253571,0.743067317597041,0.6697771511305333,0.5683818777987879,0.4520216845985699,0.5467824431105961,0.685596461829038,0.6660571833118589,0.4523728169697373,0.59431430781123,0.6420788015912215,0.5710607251147264,0.5064109411704568,0.6298358884044765,0.6329900805588716,0.5823195631039242,0.5361854770773115,0.6247185272289644,0.4203021010121371,0.5660665838982282,0.5380760611192421,0.6179712381043295,0.6134530736656478,0.5749213036170437,0.6790705951580496,0.7969088747415755,0.5983863959638279,0.615743730247245,0.5986262495118936,0.5867927965164861,0.623323856744684,0.657218266503708,0.429673904392749,0.6968846372606783,0.5813030281046703,0.6117184778301822,0.6144369348879786,0.694383593888256,0.4947159063102628,0.6531609424087178,0.6830527732717562,0.6294692504555867,0.6139355836589462,0.6544252468759642,0.6627730215049051,0.6314973203853308,0.6197270693378779,0.574530941032526,0.5510583865564722,0.8437404575869472,0.6436684257420813,0.5485434629968383,0.5392905373706764,0.6247405907456135,0.3386106765074073,0.4743502216823204,0.7551865967780799,0.5644617097606716,0.6679769004545758,0.5488631199332095,0.6301329803346356,0.5503681858467185,0.5642724756899483,0.5811026211209126,0.4885583625621584,0.5544052937713362,0.607700009260949,0.5453736373603457,0.4836531417738655,0.617879845555378,0.5103528183974285,0.4616557371016366,0.6839111840631608,0.7506137750913725,0.6855646922164944,0.6652154365173064,0.6428163659991639,0.6475551035432571,0.4557459914067627,0.6178403845277961,0.6155541552590537,0.4143123401483429,0.5131067568080501,0.6403659585243775,0.6299707737162983,0.7262492107150118,0.6223512701387646,0.5298944427010347,0.6733641739542334,0.5751405592720545,0.6353279457494272,0.6927216086771765,0.5962932186955017,0.499720343010828
3,201209,0.4149722248306595,0.6181807204915964,0.7676761682093637,0.615712368503983,0.2971255388809394,0.6025922614255893,0.5989409057446434,0.599905703233258,0.5903576320191298,0.6515392435548002,0.7848794690445794,0.5722420051482576,0.6098680096404687,0.6277303865342899,0.6374194247200433,0.5310849595290597,0.6398682684462177,0.6180981191542213,0.7083817408836749,0.6009999838224007,0.7240642131115718,0.6237735415271135,0.6324521630273776,0.4637305982370324,0.585538776485827,0.6157744451988897,0.685331019563312,0.3743572557353301,0.6312518605225406,0.6280701443297032,0.5324552055210655,0.4920311163591626,0.7532729332312432,0.678963153720448,0.5364101527060104,0.5104963777549743,0.6431026718651308,0.4692385016097349,0.5782369696414069,0.4927897287538317,0.6290222617537332,0.6267458052679474,0.5227029237423066,0.6889260921765382,0.7141764601724663,0.6716674062786326,0.6683386369216229,0.4632673931923385,0.5984231152523448,0.603136330585645,0.6803976026800543,0.3770514346747267,0.796808246117679,0.540944842331694,0.7001169880606501,0.6432754486561025,0.4535967633444799,0.4914286462952096,0.6279524879480709,0.6039851465578189,0.6469976443992547,0.6035675121978807,0.5965979653717971,0.6203668412374383,0.6867497163187046,0.5802486116072968,0.6217266232059189,0.5755890632497074,0.8956592735832131,0.5791686139399959,0.5592758864459861,0.5526434810086263,0.6198328006824121,0.3702602403195726,0.4748350825201964,0.6428412388437806,0.6874422423961427,0.6352300299763737,0.513939585204723,0.6886391477366305,0.552787263390175,0.4792326721483307,0.5959653546242313,0.5951831239215496,0.5479645444154908,0.6230946057253655,0.5214975119135323,0.4243922537972751,0.650407630451011,0.5024568203274895,0.4800982771670039,0.6264796586927676,0.6696509321603578,0.6147759797229465,0.6579614029526862,0.6714955505273177,0.6319429993856398,0.4254822939077666,0.6086876173656699,0.6320751668245862,0.5126309152901795,0.5645214450702867,0.5981533367415839,0.6295760983637435,0.6113823659381337,0.5961342668786875,0.7985677930364765,0.6210248184252276,0.5272539494623545,0.7136517308225031,0.6777894553704463,0.7100870705946524,0.5000308536259385
4,201210,0.3882028454510614,0.6343350873749369,0.6042724435533205,0.6164876792997838,0.3097366944762962,0.5892632402448736,0.6471195603982633,0.6023849844711512,0.6754594689832832,0.672564450135846,0.6488293666843079,0.610460392693821,0.6810220974324919,0.6762475917145444,0.6057733197784683,0.6096770415556357,0.6391817674933502,0.5540350416838419,0.6453844532531088,0.4187159279388593,0.6729424700436196,0.6189245795321582,0.5734378338376737,0.5098491543180317,0.5710916610594178,0.6760227568723396,0.6940346962235036,0.3624425583353428,0.6262153405853558,0.7160383761540738,0.5495612256137277,0.520120650791192,0.6918552563669226,0.6326914143955258,0.5357582306214156,0.5084555380633792,0.6475680289389321,0.4986955403561586,0.5366674787255942,0.501563556905033,0.6561325948963315,0.6300291488855005,0.4853055574279781,0.634428712683746,0.5884446646838548,0.5776092073232348,0.624604338189194,0.5189476878220024,0.5829226479033294,0.5507994054286671,0.7032023203318729,0.4896094246729129,1.034739941370345,0.5564892832654064,0.6920789692745412,0.5376361659510503,0.5669351037494209,0.5386487704848684,0.6395408270038149,0.6123508021523707,0.643668799834185,0.5475040577000052,0.5981874546718602,0.6247624650655688,0.6584148733623358,0.6046807574637427,0.6528718226991279,0.6474877223767985,0.8128526032685591,0.6533469387573477,0.5254000222729848,0.5244423804767274,0.615297966659775,0.3602778480625124,0.4443700726395675,0.6798746395347322,0.643960491636259,0.6197083137159525,0.58002433735389,0.5953943069006769,0.5674981466942561,0.5458850354974731,0.6141432145930301,0.5474718786551526,0.5481864148989769,0.5931212634140528,0.4413015710838314,0.5370029422002057,0.5700757887553622,0.5141756093901536,0.5205870390281088,0.6272597097259205,0.6378925876287521,0.6216387251288671,0.5964108144265956,0.6991235161087755,0.6318978168077395,0.4949308049357556,0.634704193629,0.6632641474832591,0.4998180473615044,0.5634662846316593,0.643327358153424,0.6644142990540978,0.6023772358639897,0.574186969510472,0.5358428441727888,0.6346962195351689,0.6516846078253626,0.6247287293001986,0.609759243556274,0.627600399974536,0.5093570283089702
5,201211,0.3890930678140666,0.608768811657665,0.6619295681382374,0.5936891759749958,0.2898509144583561,0.5445485894421291,0.6610973848070301,0.6241127333567477,0.6034530999273328,0.6601346604859801,0.716307475210758,0.6260785708496828,0.6017707468290692,0.6729065711455093,0.6132947218255301,0.6373438113452276,0.6790722728068223,0.6182318888938992,0.6671476719017165,0.5000339072479333,0.6715750876579057,0.7026920690144737,0.5729278514146432,0.5211955699587698,0.5705951385423279,0.5940812231551426,0.6857858275511581,0.3936128816251862,0.6351713378285692,0.6202192623638627,0.5724455001352631,0.6167827632360738,0.6031788643824822,0.6399601902857123,0.6204511484479265,0.5256363973042437,0.5943305500447946,0.5187132784844292,0.5594187851687878,0.5369558245674146,0.613958428178612,0.6091711211104159,0.5438958794896794,0.6879564266725102,0.6400252572837386,0.545397125465035,0.6420515224502972,0.5677398449390938,0.5982393390578601,0.5879994661486917,0.6674734478654405,0.4950449818322449,0.3403500853635365,0.5820471854064941,0.7056608255048993,0.3985006726239745,0.6850178018831626,0.5572013169364941,0.5686045732352955,0.605367897468534,0.6834863163267997,0.6384456996637433,0.5952576207270344,0.6062600854352048,0.6382814525992078,0.6372167253640596,0.6235455749142739,0.6188092189422226,0.6157855917970063,0.6675084948639086,0.5594387119291003,0.5253002991384893,0.6378501301758459,0.3920835144891036,0.510292500049121,0.6526709896212541,0.7857760148610148,0.6429137323133446,0.5604347057429205,0.6059778137435066,0.5625506721633302,0.7014403421344116,0.6369368310503597,0.6011152017762321,0.6582812184793387,0.5965939739014585,0.4492743642042768,0.5254534753366,0.6091041409932112,0.5257650118945271,0.5320642376207051,0.6882086380303707,0.8168468996535411,0.6729841233342442,0.6175691779491695,0.6177455075435762,0.6291540663340097,0.4415250768468829,0.6206687541932401,0.6387095959715693,0.5656757128230916,0.5898246719665311,0.6104295251145166,0.6419487148646246,0.6144195325543043,0.6193358964155957,0.5745035810041227,0.6355618898906683,0.6463911434477912,0.6513424229277506,0.6070942474028301,0.6871049874041187,0.5408331638776643
6,201212,0.4504329296417658,0.7023783606987847,0.6209840009066858,0.6205795517227339,0.3112426446618505,0.5815358403188153,0.7000301471478096,0.617605736488719,0.6371207746489811,0.7085746777136817,0.6022073826874034,0.6407570619779501,0.599871981953821,0.8321706751278029,0.5953483950461997,0.6829386948853243,0.5938053150981343,0.605322281389815,0.595331078555981,0.7200950409593413,0.6484102920514545,0.6629820921283534,0.6502418656912772,0.5250305146404766,0.5539092385320206,0.599073535359025,0.6930283478444026,0.376803137806653,0.6355785186724879,0.6627287965511565,0.5593382265061296,0.6356247562778891,0.6352066477446041,0.6946998399516179,0.5808438264936222,0.584288019466939,0.6101762014771248,0.5891374937167688,0.6001407479924752,0.5690616290829422,0.6408497525532529,0.6028891956357121,0.5454536974220906,0.609222124038878,0.6785322023844451,0.6090736996827759,0.544060868739267,0.5898023230358882,0.6111987902134806,0.5583043089263802,0.6045852459729434,0.4327581200295351,0.3987622074875217,0.571900290020244,0.7387222811421462,0.6275019144396493,0.7222873540120094,0.5206247879571785,0.6616440725782277,0.583182240931675,0.6361982426232633,0.5151509877337794,0.6010614504652964,0.6724966009366362,0.6487151267446363,0.5952327422715763,0.6629659479681183,0.6127186527344397,0.5762320278532912,0.6071305185489503,0.5936080917662505,0.5449288297510315,0.6430521004874641,0.3902292197708081,0.4308582314513113,0.6970737755722153,0.7890323652361101,0.6901169988373357,0.5140069686701999,0.662368266973721,0.6915787444933565,0.5672991566299728,0.6160243005292805,0.5967055585782006,0.5534534177681476,0.6140196857033275,0.4439183263042262,0.5215138948849004,0.5559648935530938,0.5392534696196812,0.5454956227425969,0.6843873876316011,0.6563980407039249,0.6513699705769538,0.5967970290034765,0.6306555505774147,0.6572427112023941,0.4390237589841025,0.6248350605429904,0.6530251031058354,0.4731202311091211,0.5463066563622987,0.61243131099217,0.6334206606235926,0.6830516662026143,0.6105276568925867,0.5396935267555311,0.6372926884595053,0.6729797819818746,0.6667148722880393,0.6668577586418872,0.6127150314273629,0.5219109480930878
7,201301,0.4416256202747562,0.6791260605706159,0.7418941497427812,0.6748363395837265,0.3085918749636524,0.5982693058941724,0.664165749555191,0.6193911121690703,0.5811521924428128,0.5959680575335947,0.62521965444862,0.628906863413712,0.6593863694307376,0.6370753316905733,0.6033013986114198,0.5402387815009139,0.6458328577030198,0.5775915134500784,0.7020646800317573,0.4184153247198459,0.7342695832142887,0.6272687201110679,0.5670302845515408,0.5349290860352154,0.5667505014933248,0.5398025736373544,0.6229347506930811,0.3741417426072116,0.6697913327522942,0.6194737812443227,0.5890839348911062,0.5887451036987166,0.7050644725955805,0.6286262204395824,0.6699098647593339,0.5722849252511029,0.6224439006804775,0.5775942869183667,0.6070606332622018,0.5606444613265257,0.7130259183092208,0.6270755793795919,0.4031322083513304,0.6168171946399994,0.6394212456157503,0.5796798480197825,0.67439256974386,0.512014773838131,0.6084653635484785,0.6186185583923877,0.6917723577008399,0.4653335183160237,0.3775417581011588,0.5673099748161227,0.6950642068804606,0.6324754720019755,0.6726554629393616,0.4916399246616784,0.5806179039059998,0.6333720958985325,0.6869029429237384,0.5604871720704957,0.6516749605449045,0.6900276073180286,0.6515445662775391,0.6248268413518316,0.6243022190708802,0.5996944994468076,0.6317265748683055,0.64832530089834,0.5753504197060476,0.5245249899441069,0.6332272516744867,0.3959388051283763,0.439776978648968,0.5671904986260468,0.7317924210994264,0.6973523273513239,0.5978870411616247,0.6203184134751025,0.6615310584467085,0.6144565596124398,0.6312031525289675,0.5387606635887192,0.5362325659206342,0.6780003251926863,0.6300837878619046,0.6102532402835543,0.6477253327256937,0.532812249883274,0.5529580583758287,0.6395532518232023,0.7633981101741704,0.674681980732546,0.6906498529553047,0.6267759441575557,0.6380830208805179,0.4152679583960397,0.6154650234716736,0.7083967535654404,0.5781447742965647,0.5409172346094321,0.6730595573486277,0.6959066792842908,0.6383011183048911,0.626383349805528,0.5885383667416294,0.6525321258401765,0.65893261905079,0.6191931671942961,0.6434582323317466,0.6693221402231859,0.5731243801115963
8,201302,0.4059254401601346,0.6683220025789927,0.5792919704582344,0.6515604380736418,0.3036455080791391,0.6325824152046666,0.7349871481816809,0.6134515772459763,0.5966638308160159,0.6584521726484781,0.6954001236906604,0.6410298571704255,0.603392404422364,0.6686132714907043,0.6395639404268116,0.5770221170899292,0.6245643151787762,0.5147960276196161,0.6633149518380961,0.5641789406727973,0.6625961241973578,0.7848922414818622,0.5734356261111471,0.5408462213447336,0.5815588036348379,0.5529640221842012,0.6281740828277759,0.3539523606390257,0.6593855125640106,0.5977420437835093,0.5690484648477375,0.5871491879310664,0.6161335741326459,0.6247813784607485,0.6057224916963521,0.5487817019515029,0.5809409447972065,0.4908178152857436,0.5660959939126179,0.5070177320957046,0.6067275239611154,0.5632529851444704,0.5622095162189864,0.6754969680581852,0.6316841458393203,0.5678716833926593,0.6307167767436305,0.5897176950837868,0.6098988872990689,0.5522185346659154,0.7131603791602553,0.4843085596218888,0.290631318996895,0.6051419687744105,0.6899500475022603,0.5704287530649036,0.5828665183617272,0.5656737868311423,0.690555149285169,0.7025546258385797,0.6719455505987076,0.555527220800459,0.6081688018176995,0.6187803654573122,0.6385877120951945,0.608745138818318,0.6046442033622756,0.6390578125924221,0.561774665097804,0.6825412155294878,0.5883042632700637,0.522422649830459,0.617440723785183,0.396083130849934,0.4867071192409913,0.6616697604876843,0.6529934472098194,0.7122389765006053,0.7097425306530181,0.5979903360456439,0.5455526051325866,0.6405861070165272,0.626409348312322,0.5480266912923354,0.5248022955434084,0.6688151168464679,0.5635614828970327,0.5168923046501946,0.5862619474156001,0.5132198300345552,0.4703386317184921,0.6722248863764947,0.7170501410510852,0.6426321834253417,0.5864798991067709,0.6822602978305482,0.6593638070969038,0.4574487701501016,0.6140108118320793,0.6466802492404282,0.4473327169392952,0.5705507686162722,0.5860587413527466,0.6228098715269187,0.6771957504718192,0.6320701374426356,0.4638791544231821,0.6572030854622647,0.6408319639594368,0.6561437375647562,0.6346440692569083,0.6445814849671815,0.5475303512197335
9,201303,0.4303640563173792,0.6766104786826108,0.6523721851766324,0.6441122191144569,0.327168971061996,0.6013725223901403,0.7026404680484065,0.6511645240316455,0.6036354563973815,0.7107620347330129,0.6220521254074313,0.6390453757067325,0.7113514127246033,0.6301554833542945,0.6542292950271703,0.5831780138815044,0.6440969072431623,0.6746130288806543,0.6048464915042256,0.5115428228387783,0.6562974242398796,0.6530899338189857,0.634178046252484,0.5277439898219857,0.5944525813837189,0.5294592466688492,0.5873738016848558,0.3521451066080844,0.6507213588999691,0.647490984831406,0.5571054590147152,0.5951077034591619,0.6664580941176562,0.634980841703935,0.5985340391784841,0.5525414804092851,0.6018922088090456,0.488017261797849,0.5766803698615027,0.5429874377657361,0.6766781982933614,0.6603512262911689,0.5794315312420858,0.6544048785284821,0.6514901964351308,0.5913598588429798,0.6414239276697269,0.4869401469133962,0.6028993139837265,0.6104402869970609,0.6422438547998546,0.5120060593145643,0.4004977420494607,0.5575054599535605,0.6283307866157164,0.4543198003512018,0.6063907689294824,0.5546263094632493,0.6121345304794288,0.6001033658995312,0.6569941441188385,0.6404891208298521,0.5677680026535873,0.6431956679769393,0.6859752831617326,0.6366970076761225,0.6309303892424555,0.633682617089238,0.4353020700568947,0.6387391778042545,0.5704998222621329,0.5114394848775107,0.6030702539472995,0.3654783483998587,0.4815729263520468,0.6727949962874256,0.7514930899056752,0.7426767999761908,0.5697391962510955,0.5673301342398338,0.6228617664150339,0.6339091881967104,0.6102948838410713,0.5494404995946471,0.5409223855870221,0.6229322013270999,0.5357863216168582,0.4844563256343355,0.6260509887580659,0.514340157921397,0.4839366572601424,0.6856417419758153,0.6512072858732548,0.6901924354876438,0.6150390633252487,0.6683539443143157,0.6278723983343344,0.4555120875835913,0.6237070055659657,0.6459444898866747,0.5089131040731021,0.5227734510307253,0.6658493309424647,0.6297381405484994,0.6555937995536005,0.7077431678600609,0.5171466541157749,0.6839976820141168,0.5827014188805363,0.6711821016024966,0.59260996976375,0.6390771960039768,0.5912517482160984
