,계약날짜,서울
0,201207,-0.013297872340425565
1,201208,-0.008086253369272378
2,201209,-0.005434782608695565
3,201210,-0.001366120218579403
4,201211,-0.004103967168262668
5,201212,-0.009615384615384692
6,201301,0.004160887656033507
7,201302,0.004143646408839796
8,201303,0.009628610729023324
9,201304,0.004087193460490468
10,201305,0.0027137042062415073
11,201306,-0.005412719891745632
12,201307,-0.0027210884353742193
13,201308,0.005457025920873271
14,201309,0.008141112618724522
15,201310,0.0053835800807537915
16,201311,-0.0026773761713521083
17,201312,-0.0026845637583893245
18,201401,0.009421265141319024
19,201402,0.009333333333333416
20,201403,0.003963011889035695
21,201404,0.0
22,201405,-0.003947368421052588
23,201406,-0.0013210039630120463
24,201407,0.001322751322751392
25,201408,0.009247027741083214
26,201409,0.009162303664921323
27,201410,0.005188067444876765
28,201411,0.0
29,201412,-0.001290322580645098
30,201501,0.006459948320413522
31,201502,0.008985879332477298
32,201503,0.010178117048346147
33,201504,0.010075566750629594
34,201505,0.008728179551122262
35,201506,0.006180469715698411
36,201507,0.013513513513513375
37,201508,0.00848484848484854
38,201509,0.008413461538461675
39,201510,0.005959475566150285
40,201511,0.004739336492890933
41,201512,-0.004716981132075415
42,201601,-0.0011848341232228998
43,201602,0.0023724792408066353
44,201603,0.0
45,201604,0.0035502958579880506
46,201605,0.00943396226415083
47,201606,0.011682242990654235
48,201607,0.015011547344111031
49,201608,0.014789533560864543
50,201609,0.013452914798206317
51,201610,0.01327433628318575
52,201611,0.0021834061135370675
53,201612,-0.006535947712418277
54,201701,-0.002192982456140413
55,201702,0.0
56,201703,0.007692307692307665
57,201704,0.0032715376226826187
58,201705,0.01521739130434785
59,201706,0.020342612419700146
60,201707,0.026232948583420734
61,201708,0.002044989775051187
62,201709,0.003061224489795844
63,201710,0.011190233977619535
64,201711,0.006036217303822866
65,201712,0.009000000000000119
66,201801,0.020812685827551913
67,201802,0.01747572815533971
68,201803,0.012404580152671763
69,201804,0.01225259189443939
70,201805,0.004655493482309092
71,201806,0.006487488415199083
72,201807,0.014732965009208288
73,201808,0.04355716878402904
74,201809,0.05652173913043468
75,201810,0.007407407407407529
76,201811,-0.014705882352941235
77,201812,-0.01243781094527363
78,201901,-0.010915197313182134
79,201902,-0.005942275042444822
80,201903,-0.00853970964987194
81,201904,0.0
82,201905,0.009474590869939847
83,201906,0.020477815699658564
84,201907,0.021739130434782705
85,201908,0.013093289689034338
86,201909,0.011308562197092087
87,201910,0.015175718849840258
88,201911,0.018095987411487213
89,201912,0.01700154559505407
90,202001,0.008358662613981771
91,202002,0.013564431047475622
92,202003,0.008178438661710086
93,202004,-0.008849557522123797
94,202005,0.005208333333333259
95,202006,0.03552923760177662
96,202007,0.05146533238027162
97,202008,0.03263086335825971
98,202009,0.012508229098090906
99,202010,0.00845253576072813
100,202011,0.01805286911669901
101,202012,0.020899303356554766
102,202101,0.03101736972704705
103,202102,0.014440433212996373
104,202103,0.003558718861209842
105,202104,0.007092198581560405
106,202105,0.018192488262910755
107,202106,0.022478386167146924
108,202107,0.0219842164599775
109,202108,0.01765030336458895
110,202109,0.015176151761517653
111,202110,0.0026695141484249785
112,202111,-0.0165069222577211
113,202112,-0.011911207363291765
114,202201,-0.006575342465753309
115,202202,-0.009376723662438025
116,202203,0.010579064587973308
117,202204,0.01157024793388417
118,202205,-0.014705882352941124
